b_number,gene_name
b0400,phoR
b0399,phoB
b1129,phoQ
b1130,phoP
b3404,envZ
b3405,ompR
b1609,rstB
b1608,rstA
b3911,cpxA
b3912,cpxR
b4399,creC
b4398,creB
b2078,baeS
b2079,baeR
b4112,basS
b4113,basR
b0570,cusS
b0571,cusR
b3026,qseC
b3025,qseB
b0695,kdpD
b0694,kdpE
b0993,torS
b0995,torR
b3210,arcB
b4401,arcA
b1968,hprS
b1969,hprR
b1222,narX
b1221,narL
b2469,narQ
b2193,narP
b3668,uhpB
b3669,uhpA
b2218,rcsC
b2216,rcsD
b2217,rcsB
b2786,barA
b1914,uvrY
b2370,evgS
b2369,evgA
b0535,fimZ
b0619,dpiB
b0620,dpiA
b4125,dcuS
b4124,dcuR
b2126,btsS
b2380,ypdA
b2381,ypdB
b2125,btsR
b3869,glnL
b3868,glnG
b4003,zraS
b4004,zraR
b2219,atoS
b2220,atoC
b2556,glrK
b2554,glrR
b1888,cheA
b1882,cheY
b1883,cheB
b1235,rssB
