bnuber,gene,gene_description,copy_number,growth_rate_hr-1
b0002,"thra, eck0002, hs, jw0001, thra1, thra2, thrd","fused aspartokinase i and homoserine dehydrogenase i (ec:2,7,2,4",932,0.11
b0003,"thrb, eck0003, jw0002","homoserine kinase (ec:2,7,1,39)",112,0.11
b0004,"thrc, eck0004, jw0003","threonine synthase (ec:4,2,3,1)",2347,0.11
b0005,"yaax, eck0005, jw0004",predicted protein,,0.11
b0006,"yaaa, eck0006, jw0005",conserved protein,43,0.11
b0007,"yaaj, eck0007, jw0006",predicted transporter,,0.11
b0008,"talb, eck0008, jw0007, yaak","transaldolase b (ec:2,2,1,2)",4555,0.11
b0009,"mog, bisd, chlg, eck0009, jw0008, moga, yaag",predicted molybdochelatase,141,0.11
b0010,"yaah, eck0010, jw0009",conserved inner membrane protein associated with acetate transport,,0.11
b0011,"yaaw, eck0011, htga, htpy, jw0010",conserved protein,,0.11
b0013,"yaai, eck0013, jw0012",predicted protein,,0.11
b0014,"dnak, eck0014, gropab, gropc, gropf, grpc, grpf, jw0013, seg","chaperone hsp70, co-chaperone with dnaj",5869,0.11
b0015,"dnaj, eck0015, grop, grpc, jw0014","chaperone hsp40, co-chaperone with dnak",346,0.11
b0018,"mokc, eck4466, gefl","regulatory protein for hokc, overlaps cds of hokc",,0.11
b0019,"nhaa, ant, anta, eck0020, jw0018",sodium-proton antiporter,,0.11
b0020,"nhar, anto, eck0021, jw0019, yaab",dna-binding transcriptional activator,,0.11
b0023,"rpst, eck0024, jw0022, sup",30s ribosomal subunit protein s20,8015,0.11
b0024,"yaay, eck0025, jw5003",predicted protein,,0.11
b0025,"ribf, eck0026, jw0023, yaac","bifunctional riboflavin kinase/fad synthetase (ec:2,7,1,26 2,7,7,2)",,0.11
b0026,"iles, eck0027, ilvs, jw0024","isoleucyl-trna synthetase (ec:6,1,1,5)",1088,0.11
b0027,"lspa, eck0028, jw0025","prolipoprotein signal peptidase (signal peptidase ii) (ec:3,4,23,36)",,0.11
b0028,"fkpb, eck0029, jw0026, slpa, yaad",fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase),675,0.11
b0029,"isph, eck0030, jw0027, lytb, yaae","1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate reductase, 4fe-4s",126,0.11
b0030,"rihc, eck0031, jw0028, yaaf","ribonucleoside hydrolase 3 (ec:3,2,2,-)",182,0.11
b0031,"dapb, eck0032, jw0029","dihydrodipicolinate reductase (ec:1,3,1,26)",431,0.11
b0032,"cara, arg, cap, eck0033, jw0030, pyra","carbamoyl phosphate synthetase small subunit, glutamine",706,0.11
