b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0010,"inner membrane protein, Grp1_Fun34_YaaH family",COG1584,energy production and conversion,C,metabolism
b0019,"sodium/proton antiporter, NhaA family (TC 2.A.33.1.1)",COG3004,energy production and conversion,C,metabolism
b0041,electron transfer flavoprotein beta subunit,COG2086,energy production and conversion,C,metabolism
b0042,electron transfer flavoprotein alpha subunit apoprotein,COG2025,energy production and conversion,C,metabolism
b0043,predicted oxidoreductase with FAD/NAD(P)-binding domain,COG0644,energy production and conversion,C,metabolism
b0044,predicted 4Fe-4S ferredoxin-type protein,COG2440,energy production and conversion,C,metabolism
b0073,3-isopropylmalate dehydrogenase (EC 1.1.1.85),COG0473,energy production and conversion,C,metabolism
b0114,"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding",COG2609,energy production and conversion,C,metabolism
b0115,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",COG0508,energy production and conversion,C,metabolism
b0116,dihydrolipoamide dehydrogenase (EC 1.8.1.4),COG1249,energy production and conversion,C,metabolism
b0118,aconitase (EC 4.2.1.3),COG1049,energy production and conversion,C,metabolism
b0284,"xanthine dehydrogenase, molybdenum binding subunit apoprotein (EC 1.17.1.4)",COG1529,energy production and conversion,C,metabolism
b0285,"PaoABC aldehyde oxidoreductase, FAD-containing subunit",COG1319,energy production and conversion,C,metabolism
b0286,"PaoABC aldehyde oxidoreductase, 2Fe-2S subunit",COG2080,energy production and conversion,C,metabolism
b0304,predicted pyridine nucleotide-disulfide oxidoreductase,COG1249,energy production and conversion,C,metabolism
b0307,predicted electron transport protein with ferridoxin-like domai,COG1139,energy production and conversion,C,metabolism
b0308,predicted transporter,COG1556,energy production and conversion,C,metabolism
b0312,betaine aldehyde dehydrogenase (EC 1.2.1.8),COG1012,energy production and conversion,C,metabolism
b0320,predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain,COG0074,energy production and conversion,C,metabolism
b0333,2-methylcitrate synthase (EC 2.3.3.5),COG0372,energy production and conversion,C,metabolism
b0347,3-hydroxyphenylpropionate hydroxylase (EC 1.14.13.127),COG0654,energy production and conversion,C,metabolism
b0429,cytochrome bo3 quinol oxidase subunit 4 (EC 1.10.3.-),COG3125,energy production and conversion,C,metabolism
b0430,cytochrome bo3 quinol oxidase subunit 3 (EC 1.10.3.-),COG1845,energy production and conversion,C,metabolism
b0431,cytochrome bo3 quinol oxidase subunit 1 apoprotein (EC 1.10.3.-),COG0843,energy production and conversion,C,metabolism
b0432,cytochrome bo3 quinol oxidase subunit 2 (EC 1.10.3.-),COG1622,energy production and conversion,C,metabolism
b0517,ureidoglycolate dehydrogenase,COG2055,energy production and conversion,C,metabolism
b0518,multicopy suppressor of dominant negative ftsH mutations; predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain,COG0074,energy production and conversion,C,metabolism
b0578,dihydropteridine reductase (EC 1.5.1.34),COG0778,energy production and conversion,C,metabolism
b0599,predicted oxidoreductase,COG0371,energy production and conversion,C,metabolism
b0615,"citrate lyase, citrate-ACP transferase (alpha) subunit",COG3051,energy production and conversion,C,metabolism
b0617,"citrate lyase, acyl carrier (gamma) subunit",COG3052,energy production and conversion,C,metabolism
b0618,[citrate [pro-3S]-lyase] ligase,COG3053,energy production and conversion,C,metabolism
b0621,anaerobic C4-dicarboxylate transport,COG3069,energy production and conversion,C,metabolism
b0662,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",COG0654,energy production and conversion,C,metabolism
b0684,flavodoxin 1,COG0716,energy production and conversion,C,metabolism
b0720,citrate synthase (EC 2.3.3.1),COG0372,energy production and conversion,C,metabolism
b0721,succinate dehydrogenase subunit C (EC 1.3.5.1),COG2009,energy production and conversion,C,metabolism
b0722,succinate dehydrogenase subunit D (EC 1.3.5.1),COG2142,energy production and conversion,C,metabolism
b0723,succinate dehydrogenase subunit A (EC 1.3.5.1),COG1053,energy production and conversion,C,metabolism
b0724,succinate dehydrogenase subunit B (EC 1.3.5.1),COG0479,energy production and conversion,C,metabolism
b0726,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),COG0567,energy production and conversion,C,metabolism
b0727,2-oxoglutarate dehydrogenase E2 component (EC 2.3.1.61),COG0508,energy production and conversion,C,metabolism
b0728,succinyl-CoA synthetase (ADP-forming) beta subunit (EC 6.2.1.5),COG0045,energy production and conversion,C,metabolism
b0729,succinyl-CoA synthetase (ADP-forming) alpha subunit (EC 6.2.1.5),COG0074,energy production and conversion,C,metabolism
b0733,cytochrome bd-I ubiquinol oxidase subunit 1 apoprotein (EC 1.10.3.10),COG1271,energy production and conversion,C,metabolism
b0734,cytochrome bd-I ubiquinol oxidase subunit 2 apoprotein (EC 1.10.3.10),COG1294,energy production and conversion,C,metabolism
b0769,conserved protein,COG2828,energy production and conversion,C,metabolism
b0771,predicted hydratase,COG1048,energy production and conversion,C,metabolism
b0801,predicted dehydrogenase,COG2055,energy production and conversion,C,metabolism
b0823,predicted pyruvate formate lyase,COG1882,energy production and conversion,C,metabolism
b0851,"nitroreductase A, NADPH-dependent, FMN-dependent",COG0778,energy production and conversion,C,metabolism
b0872,"HCP oxidoreductase, NADH-dependent",COG1018,energy production and conversion,C,metabolism
b0873,hydroxylamine reductase precursor (EC 1.7.99.1),COG1151,energy production and conversion,C,metabolism
b0886,fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component,COG4987,energy production and conversion,C,metabolism
b0887,fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component,COG4988,energy production and conversion,C,metabolism
b0894,"dimethyl sulfoxide reductase, anaerobic, subunit A",COG0243,energy production and conversion,C,metabolism
b0895,"dimethyl sulfoxide reductase, anaerobic, subunit B",COG0437,energy production and conversion,C,metabolism
b0896,"dimethyl sulfoxide reductase, anaerobic, subunit C",COG3302,energy production and conversion,C,metabolism
b0903,pyruvate formate lyase I,COG1882,energy production and conversion,C,metabolism
b0937,NAD(P)H-dependent FMN reductase,COG0431,energy production and conversion,C,metabolism
b0968,weak acylphosphatase,COG1254,energy production and conversion,C,metabolism
b0972,"[NiFe]-hydrogenase I apoprotein, small subunit",COG1740,energy production and conversion,C,metabolism
b0973,"[NiFe]-hydrogenase I apoprotein, large subunit",COG0374,energy production and conversion,C,metabolism
b0974,[NiFe]-hydrogenase I apocytochrome b subunit,COG1969,energy production and conversion,C,metabolism
b0975,Hydrogenase 1 maturation peptidase HyaD. Aspartic peptidase. MEROPS family A31,COG0680,energy production and conversion,C,metabolism
b0978,cytochrome bd-II ubiquinol oxidase subunit 1 apoprotein (EC 1.10.3.11),COG1271,energy production and conversion,C,metabolism
b0979,cytochrome bd-II ubiquinol oxidase subunit 2 apoprotein (EC 1.10.3.11),COG1294,energy production and conversion,C,metabolism
b0992,predicted 4Fe-4S membrane protein,COG0348,energy production and conversion,C,metabolism
b0996,"trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit",COG3005,energy production and conversion,C,metabolism
b0997,"trimethylamine N-oxide (TMAO) reductase I, catalytic subunit",COG0243,energy production and conversion,C,metabolism
b1004,NAD(P)H:quinone oxidoreductase,COG0655,energy production and conversion,C,metabolism
b1007,"predicted oxidoreductase, flavin:NADH component",COG1853,energy production and conversion,C,metabolism
b1008,predicted oxidoreductase,COG0778,energy production and conversion,C,metabolism
b1057,predicted cytochrome b561,COG3038,energy production and conversion,C,metabolism
b1109,respiratory NADH dehydrogenase 2/cupric reductase,COG1252,energy production and conversion,C,metabolism
b1136,isocitrate dehydrogenase (NADP) (EC 1.1.1.42),COG0538,energy production and conversion,C,metabolism
b1186,"sodium/proton antiporter, NhaB family (TC 2.A.34.1.1)",COG3067,energy production and conversion,C,metabolism
b1191,"potassium/proton antiporter, CPA1 family (TC 2.A.36)",COG3263,energy production and conversion,C,metabolism
b1224,respiratory nitrate reductase alpha subunit apoprotein,COG5013,energy production and conversion,C,metabolism
b1225,respiratory nitrate reductase beta subunit,COG1140,energy production and conversion,C,metabolism
