b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0009,molybdopterin adenylyltransferase (EC 2.7.7.75),COG0521,coenzyme transport and metabolism,H,metabolism
b0025,FMN adenylyltransferase (EC 2.7.7.2)/riboflavin kinase (EC 2.7.1.26),COG0196,coenzyme transport and metabolism,H,metabolism
b0048,dihydrofolate reductase (EC 1.5.1.3),COG0262,coenzyme transport and metabolism,H,metabolism
b0052,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),COG1995,coenzyme transport and metabolism,H,metabolism
b0066,thiamin transporter subunit,COG3840,coenzyme transport and metabolism,H,metabolism
b0068,thiamin transporter subunit,COG4143,coenzyme transport and metabolism,H,metabolism
b0077,"acetolactate synthase, large subunit (EC 2.2.1.6)",COG0028,coenzyme transport and metabolism,H,metabolism
b0103,dephospho-CoA kinase (EC 2.7.1.24),COG0237,coenzyme transport and metabolism,H,metabolism
b0109,nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19),COG0157,coenzyme transport and metabolism,H,metabolism
b0131,L-aspartate 1-decarboxylase (EC 4.1.1.11),COG0853,coenzyme transport and metabolism,H,metabolism
b0133,pantothenate synthetase (EC 6.3.2.1),COG0414,coenzyme transport and metabolism,H,metabolism
b0134,ketopantoate hydroxymethyltransferase (EC 2.1.2.11),COG0413,coenzyme transport and metabolism,H,metabolism
b0142,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,COG0801,coenzyme transport and metabolism,H,metabolism
b0151,iron-hydroxamate transporter subunit,COG1120,coenzyme transport and metabolism,H,metabolism
b0154,"glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",COG0001,coenzyme transport and metabolism,H,metabolism
b0347,3-hydroxyphenylpropionate hydroxylase (EC 1.14.13.127),COG0654,coenzyme transport and metabolism,H,metabolism
b0349,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase (EC 3.7.1.-)",COG0596,coenzyme transport and metabolism,H,metabolism
b0369,porphobilinogen synthase (EC 4.2.1.24),COG0113,coenzyme transport and metabolism,H,metabolism
b0414,5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)/diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26),COG0117,coenzyme transport and metabolism,H,metabolism
b0415,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)",COG0054,coenzyme transport and metabolism,H,metabolism
b0417,thiamine-phosphate kinase,COG0611,coenzyme transport and metabolism,H,metabolism
b0420,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7),COG1154,coenzyme transport and metabolism,H,metabolism
b0421,farnesyl-diphosphate synthase (EC 2.5.1.10),COG0142,coenzyme transport and metabolism,H,metabolism
b0423,[ThiS-adenylate] sulfurtransferase,COG0301,coenzyme transport and metabolism,H,metabolism
b0425,ketopantoate reductase (EC 1.1.1.169),COG1893,coenzyme transport and metabolism,H,metabolism
b0428,protoheme IX farnesyltransferase,COG0109,coenzyme transport and metabolism,H,metabolism
b0446,thiamin pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase,COG0561,coenzyme transport and metabolism,H,metabolism
b0475,ferrochelatase (EC 4.99.1.1),COG0276,coenzyme transport and metabolism,H,metabolism
b0511,predicted allantoin transporter,COG1953,coenzyme transport and metabolism,H,metabolism
b0529,"5,10-methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)/methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)",COG0190,coenzyme transport and metabolism,H,metabolism
b0588,iron-enterobactin transporter subunit,COG1120,coenzyme transport and metabolism,H,metabolism
b0593,isochorismate synthase (EC 5.4.4.2),COG1169,coenzyme transport and metabolism,H,metabolism
b0613,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,COG1767,coenzyme transport and metabolism,H,metabolism
b0614,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,COG3697,coenzyme transport and metabolism,H,metabolism
b0628,lipoate synthase,COG0320,coenzyme transport and metabolism,H,metabolism
b0630,lipoyl-protein ligase,COG0321,coenzyme transport and metabolism,H,metabolism
b0639,nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),COG1057,coenzyme transport and metabolism,H,metabolism
b0662,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",COG0654,coenzyme transport and metabolism,H,metabolism
b0686,acyl-CoA esterase in vitro,COG0596,coenzyme transport and metabolism,H,metabolism
b0710,"conserved metal-binding protein, NIF3 family",COG0327,coenzyme transport and metabolism,H,metabolism
b0750,quinolinate synthetase (EC 2.5.1.72),COG0379,coenzyme transport and metabolism,H,metabolism
b0751,nicotinamide mononucleotide transporter,COG3201,coenzyme transport and metabolism,H,metabolism
b0766,pyridoxal phosphate (PLP) phosphatase,COG0561,coenzyme transport and metabolism,H,metabolism
b0774,adenosylmethionine-8-amino-7-oxononanoate aminotransferase apoenzyme (EC 2.6.1.62),COG0161,coenzyme transport and metabolism,H,metabolism
b0775,biotin synthase (EC 2.8.1.6),COG0502,coenzyme transport and metabolism,H,metabolism
b0776,8-amino-7-oxononanoate synthase (EC 2.3.1.47),COG0156,coenzyme transport and metabolism,H,metabolism
b0778,dethiobiotin synthase (EC 6.3.3.3),COG0132,coenzyme transport and metabolism,H,metabolism
b0780,predicted transferase with NAD(P)-binding Rossmann-fold domain,COG0391,coenzyme transport and metabolism,H,metabolism
b0781,cyclic pyranopterin monophosphate synthase subunit MoaA (EC 4.1.99.18),COG2896,coenzyme transport and metabolism,H,metabolism
b0782,molybdopterin biosynthesis protein B,COG0521,coenzyme transport and metabolism,H,metabolism
b0783,cyclic pyranopterin monophosphate synthase subunit MoaC (EC 4.1.99.18),COG0315,coenzyme transport and metabolism,H,metabolism
b0784,molybdopterin synthase subunit MoaD (EC 2.8.1.12),COG1977,coenzyme transport and metabolism,H,metabolism
b0785,molybdopterin synthase subunit MoaE (EC 2.8.1.12),COG0314,coenzyme transport and metabolism,H,metabolism
b0822,"sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P",COG0561,coenzyme transport and metabolism,H,metabolism
b0826,[molybdopterin synthase] sulfurylase,COG0476,coenzyme transport and metabolism,H,metabolism
b0827,molybdopterin molybdochelatase (EC 2.10.1.1),COG0303,coenzyme transport and metabolism,H,metabolism
b0844,FMN and erythrose-4-P phosphatase,COG0561,coenzyme transport and metabolism,H,metabolism
b0852,SSU ribosomal protein S6P modification protein,COG0189,coenzyme transport and metabolism,H,metabolism
b0871,pyruvate dehydrogenase (quinone) (EC 1.2.5.1),COG0028,coenzyme transport and metabolism,H,metabolism
b0897,"predicted hydrolase, isochorismatase family",COG1335,coenzyme transport and metabolism,H,metabolism
b0907,phosphoserine aminotransferase apoenzyme (EC 2.6.1.52),COG1932,coenzyme transport and metabolism,H,metabolism
b0921,predicted S-adenosyl-L-methionine-dependent methyltransferase,COG2227,coenzyme transport and metabolism,H,metabolism
b0931,nicotinate phosphoribosyltransferase,COG1488,coenzyme transport and metabolism,H,metabolism
b0935,alkanesulfonate monooxygenase (EC 1.14.14.5),COG2141,coenzyme transport and metabolism,H,metabolism
b1009,predicted hydrolase,COG0596,coenzyme transport and metabolism,H,metabolism
b1011,"predicted enzyme, isochorismatase homolog",COG1335,coenzyme transport and metabolism,H,metabolism
b1012,predicted monooxygenase,COG2141,coenzyme transport and metabolism,H,metabolism
b1033,glyoxylate/hydroxypyruvate reductase A,COG0111,coenzyme transport and metabolism,H,metabolism
b1096,aminodeoxychorismate lyase apoprotein (EC 4.1.3.38),COG0115,coenzyme transport and metabolism,H,metabolism
b1106,thiamine kinase,COG0510,coenzyme transport and metabolism,H,metabolism
b1210,glutamyl-tRNA reductase (EC 1.2.1.70),COG0373,coenzyme transport and metabolism,H,metabolism
b1264,"anthranilate synthase, component I (EC 4.1.3.27)",COG0147,coenzyme transport and metabolism,H,metabolism
b1270,"cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17)",COG2109,coenzyme transport and metabolism,H,metabolism
b1277,GTP cyclohydrolase II (EC 3.5.4.25),COG0807,coenzyme transport and metabolism,H,metabolism
b1336,p-aminobenzoyl-glutamate transporter; membrane protein,COG2978,coenzyme transport and metabolism,H,metabolism
b1380,"fermentative D-lactate dehydrogenase, NAD-dependent",COG1052,coenzyme transport and metabolism,H,metabolism
b1398,phenylacetate-CoA ligase (EC 6.2.1.30),COG1541,coenzyme transport and metabolism,H,metabolism
b1537,conserved protein,COG1546,coenzyme transport and metabolism,H,metabolism
b1593,dethiobiotin synthase (EC 6.3.3.3),COG0132,coenzyme transport and metabolism,H,metabolism
b1636,Pyridoxal kinase (EC 2.7.1.35),COG2240,coenzyme transport and metabolism,H,metabolism
b1638,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5),COG0259,coenzyme transport and metabolism,H,metabolism
b1662,riboflavin synthase alpha chain (EC 2.5.1.9),COG0307,coenzyme transport and metabolism,H,metabolism
b1705,"conserved protein, hemin uptake protein HemP homolog",COG4256,coenzyme transport and metabolism,H,metabolism
b1709,vitamin B12 transporter subunit : ATP-binding component of ABC superfamily,COG4138,coenzyme transport and metabolism,H,metabolism
b1711,vitamin B12 transporter subunit: membrane component of ABC superfamily,COG4139,coenzyme transport and metabolism,H,metabolism
b1740,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5),COG0171,coenzyme transport and metabolism,H,metabolism
b1768,nicotinamidase/pyrazinamidase,COG1335,coenzyme transport and metabolism,H,metabolism
b1812,"aminodeoxychorismate synthase, subunit I (EC 2.6.1.85)",COG0147,coenzyme transport and metabolism,H,metabolism
b1867,predicted hydrolase,COG1335,coenzyme transport and metabolism,H,metabolism
b1991,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21),COG2038,coenzyme transport and metabolism,H,metabolism
b1992,cobalamin-5'-phosphate synthase (EC 2.7.8.26),COG0368,coenzyme transport and metabolism,H,metabolism
b1993,adenosylcobinamide kinase (EC 2.7.1.156)/adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62),COG2087,coenzyme transport and metabolism,H,metabolism
b2103,hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,COG0351,coenzyme transport and metabolism,H,metabolism
b2104,hydroxyethylthiazole kinase,COG2145,coenzyme transport and metabolism,H,metabolism
b2153,GTP cyclohydrolase I (EC 3.5.4.16),COG0302,coenzyme transport and metabolism,H,metabolism
b2214,predicted thiamine biosynthesis lipoprotein,COG1477,coenzyme transport and metabolism,H,metabolism
b2232,3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64),COG2227,coenzyme transport and metabolism,H,metabolism
b2261,O-succinylbenzoate synthase (EC 4.2.1.113),COG1441,coenzyme transport and metabolism,H,metabolism
b2262,"1,4-Dihydroxy-2-naphthoyl-CoA synthase (EC 4.1.3.36)",COG0447,coenzyme transport and metabolism,H,metabolism
b2263,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)",COG0596,coenzyme transport and metabolism,H,metabolism
b2264,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (EC 2.2.1.9),COG1165,coenzyme transport and metabolism,H,metabolism
b2265,isochorismate synthase (EC 5.4.4.2),COG1169,coenzyme transport and metabolism,H,metabolism
b2303,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase",COG1539,coenzyme transport and metabolism,H,metabolism
b2311,3-octaprenyl-4hydroxybenzoate decarboxylase (EC 4.1.1.-),COG0163,coenzyme transport and metabolism,H,metabolism
b2315,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,COG0285,coenzyme transport and metabolism,H,metabolism
b2320,4-phosphoerythronate dehydrogenase (EC 1.1.1.290),COG0111,coenzyme transport and metabolism,H,metabolism
b2373,predicted oxalyl-CoA decarboxylase,COG0028,coenzyme transport and metabolism,H,metabolism
b2418,Pyridoxal kinase (EC 2.7.1.35),COG2240,coenzyme transport and metabolism,H,metabolism
b2436,coproporphyrinogen oxidase (EC 1.3.3.3),COG0408,coenzyme transport and metabolism,H,metabolism
b2564,pyridoxine 5'-phosphate synthase (EC 2.6.99.2),COG0854,coenzyme transport and metabolism,H,metabolism
b2574,L-aspartate oxidase (EC 1.4.3.16),COG0029,coenzyme transport and metabolism,H,metabolism
b2579,autonomous glycyl radical cofactor,COG3445,coenzyme transport and metabolism,H,metabolism
b2688,glutamate-cysteine ligase (EC 6.3.2.2),COG2918,coenzyme transport and metabolism,H,metabolism
b2700,conserved protein,COG1546,coenzyme transport and metabolism,H,metabolism
b2752,sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),COG0175,coenzyme transport and metabolism,H,metabolism
b2762,phosphoadenylylsulfate reductase (thioredoxin) (EC 1.8.4.8),COG0175,coenzyme transport and metabolism,H,metabolism
b2765,preQ(0) biosynthesis protein QueD,COG0720,coenzyme transport and metabolism,H,metabolism
b2877,molybdenum cofactor cytidylyltransferase (EC 2.7.7.76),COG2068,coenzyme transport and metabolism,H,metabolism
b2906,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",COG0654,coenzyme transport and metabolism,H,metabolism
b2907,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)/2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)",COG0654,coenzyme transport and metabolism,H,metabolism
b2912,"conserved protein, 5-formyltetrahydrofolate cyclo-ligase family",COG0212,coenzyme transport and metabolism,H,metabolism
b2913,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),COG0111,coenzyme transport and metabolism,H,metabolism
b2928,conserved protein with nucleoside triphosphate hydrolase domain,COG1072,coenzyme transport and metabolism,H,metabolism
b2942,methionine adenosyltransferase (EC 2.5.1.6),COG0192,coenzyme transport and metabolism,H,metabolism
b2947,glutathione synthase (EC 6.3.2.3),COG0189,coenzyme transport and metabolism,H,metabolism
b2955,"coproporphyrinogen III oxidase, anaerobic (EC 1.3.99.22)",COG0635,coenzyme transport and metabolism,H,metabolism
b3041,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)",COG0108,coenzyme transport and metabolism,H,metabolism
b3058,bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase,COG1539,coenzyme transport and metabolism,H,metabolism
b3160,predicted enzyme,COG2141,coenzyme transport and metabolism,H,metabolism
b3177,Dihydropteroate synthase (EC 2.5.1.15),COG0294,coenzyme transport and metabolism,H,metabolism
b3187,octaprenyl diphosphate synthase,COG0142,coenzyme transport and metabolism,H,metabolism
b3255,biotin carboxyl carrier protein,COG0511,coenzyme transport and metabolism,H,metabolism
b3258,pantothenate:sodium symporter,COG4145,coenzyme transport and metabolism,H,metabolism
b3360,"aminodeoxychorismate synthase, glutamine amidotransferase subunit (EC 2.6.1.85)",COG0512,coenzyme transport and metabolism,H,metabolism
b3368,precorrin-2 dehydrogenase (EC 1.3.1.76)/uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107),COG0007,coenzyme transport and metabolism,H,metabolism
b3399,GMP/IMP nucleotidase,COG1011,coenzyme transport and metabolism,H,metabolism
b3412,carboxylesterase BioH (pimeloyl-CoA synthesis) (EC 3.1.1.85),COG0596,coenzyme transport and metabolism,H,metabolism
b3475,holo-(acyl carrier protein) synthase 2,COG2091,coenzyme transport and metabolism,H,metabolism
b3553,glyoxylate/hydroxypyruvate reductase B,COG1052,coenzyme transport and metabolism,H,metabolism
b3617,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),COG0156,coenzyme transport and metabolism,H,metabolism
b3634,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),COG0669,coenzyme transport and metabolism,H,metabolism
b3639,Phosphopantothenate-cysteine ligase (EC 6.3.2.5)/Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36),COG0452,coenzyme transport and metabolism,H,metabolism
b3671,"acetolactate synthase, large subunit (EC 2.2.1.6)",COG0028,coenzyme transport and metabolism,H,metabolism
b3697,sugar phosphate phosphatase; substrates include erythrose 4-P and mannose 1-P phosphatase,COG0561,coenzyme transport and metabolism,H,metabolism
b3712,"predicted phosphopantetheinyl transferase, COG2091 family",COG2091,coenzyme transport and metabolism,H,metabolism
b3770,branched chain amino acid aminotransferase apoenzyme (EC 2.6.1.42),COG0115,coenzyme transport and metabolism,H,metabolism
b3774,ketol-acid reductoisomerase (EC 1.1.1.86),COG0059,coenzyme transport and metabolism,H,metabolism
b3804,uroporphyrinogen-III synthase (EC 4.2.1.75),COG1587,coenzyme transport and metabolism,H,metabolism
b3805,hydroxymethylbilane synthase (EC 2.5.1.61),COG0181,coenzyme transport and metabolism,H,metabolism
b3812,FMN phosphatase,COG1011,coenzyme transport and metabolism,H,metabolism
b3826,predicted hydrolase,COG0561,coenzyme transport and metabolism,H,metabolism
b3833,"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase (EC 2.1.1.-)/demethylmenaquinone methyltransferase (EC 2.1.1.163)",COG2226,coenzyme transport and metabolism,H,metabolism
b3834,"conserved protein, SCP2 family",COG3165,coenzyme transport and metabolism,H,metabolism
b3835,2-octaprenylphenol hydroxylase (EC 1.14.13.-),COG0661,coenzyme transport and metabolism,H,metabolism
b3843,3-octaprenyl-4hydroxybenzoate decarboxylase (EC 4.1.1.-),COG0043,coenzyme transport and metabolism,H,metabolism
b3844,NAD(P)H-flavin reductase,COG0543,coenzyme transport and metabolism,H,metabolism
b3850,protoporphyrinogen oxidase (EC 1.3.3.4),COG4635,coenzyme transport and metabolism,H,metabolism
b3856,molybdopterin guanine dinucleotide biosynthesis accessory protein MobB,COG1763,coenzyme transport and metabolism,H,metabolism
b3857,molybdenum cofactor guanylyltransferase (EC 2.7.7.77),COG0746,coenzyme transport and metabolism,H,metabolism
b3867,"coproporphyrinogen III oxidase, anaerobic (EC 1.3.99.22)",COG0635,coenzyme transport and metabolism,H,metabolism
b3885,"alpha-D-Glucose-1-P phosphatase, anomer-specific",COG1011,coenzyme transport and metabolism,H,metabolism
b3930,"1,4-dihydroxy-2-naphthoate prenyltransferase (EC 2.5.1.74)",COG1575,coenzyme transport and metabolism,H,metabolism
b3966,vitamin B12/cobalamin outer membrane transporter,COG4206,coenzyme transport and metabolism,H,metabolism
b3973,"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding",COG0340,coenzyme transport and metabolism,H,metabolism
b3974,pantothenate kinase (EC 2.7.1.33),COG1072,coenzyme transport and metabolism,H,metabolism
b3990,tyrosine lyase ThiH,COG1060,coenzyme transport and metabolism,H,metabolism
b3991,thiazole-phosphate synthase,COG2022,coenzyme transport and metabolism,H,metabolism
b4407,sulfur carrier protein ThiS,COG2104,coenzyme transport and metabolism,H,metabolism
b3992,[sulfur carrier protein ThiS] adenylyltransferase,COG0476,coenzyme transport and metabolism,H,metabolism
b3993,thiamine-phosphate diphosphorylase,COG0352,coenzyme transport and metabolism,H,metabolism
b3994,hydroxymethylpyrimidine synthase,COG0422,coenzyme transport and metabolism,H,metabolism
