b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0083,membrane bound cell division protein at septum containing leucine zipper motif,COG3116,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0084,peptidoglycan synthetase FtsI (EC 2.4.1.129),COG0768,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0089,cell division-specific peptidoglycan biosynthesis regulator FtsW,COG0772,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0093,membrane anchored protein involved in growth of wall at septum,COG1589,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0094,cell division protein FtsA,COG0849,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0095,cell division protein FtsZ,COG0206,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0102,conserved protein,COG4582,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0123,cell division protein SufI,COG2132,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0601,conserved protein,COG1475,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0624,camphor resistance protein CrcB,COG0239,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0634,cell elongation-specific peptidoglycan biosynthesis regulator RodA,COG0772,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0635,"cell elongation-specific peptidoglycan D,D-transpeptidase/peptidoglycan glycosyltransferase (EC 2.4.1.129)",COG0768,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0922,bacterial condensin subunit MukF,COG3006,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0923,bacterial condensin subunit MukE,COG3095,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0924,bacterial condensin subunit MukB,COG3096,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b0958,SOS cell division inhibitor SulA,COG5404,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1097,predicted aminodeoxychorismate lyase,COG1559,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1174,cell division topological specificity factor MinE,COG0851,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1175,septum site-determining protein MinD,COG2894,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1176,septum site-determining protein MinC,COG0850,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1188,conserved protein,COG2719,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b1254,predicted inner membrane protein,COG2917,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2113,antiporter inner membrane protein,COG0489,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2314,membrane-anchored periplasmic protein involved in septation,COG3147,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2412,cell division protein ZipA,COG3115,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2516,cytoskeletal protein required for MreB assembly,COG1426,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2748,cell division protein FtsB,COG2919,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b2910,cell division protein ZapA,COG3027,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3017,cell division protein SufI,COG2132,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3183,GTPase involved in cell partioning and DNA repair,COG0536,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3250,rod shape-determining protein MreC,COG1792,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3251,rod shape-determining protein MreB,COG1077,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3388,cell division protein that binds to the septal ring,COG3266,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3462,cell division protein FtsX,COG2177,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3463,cell division ATP-binding protein FtsE,COG2884,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3613,murein hydrolase septal ring factor,COG4942,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3865,cell division checkpoint GTPase YihA,COG0218,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3928,"septal ring assembly factor, stimulates cell division",COG3074,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
b3933,cell division protein FtsN,COG3087,"cell cycle control, cell division, chromosome partitioning",D,cellular processes and signaling
