b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0020,DNA-binding transcriptional activator,COG0583,transcription,K,information storage and processing
b0059,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),COG0553,transcription,K,information storage and processing
b0064,"transcriptional regulator, AraC family",COG2207,transcription,K,information storage and processing
b0069,transcriptional DNA-binding transcriptional activator of sgrS sRNA,COG4533,transcription,K,information storage and processing
b0076,DNA-binding transcriptional activator,COG0583,transcription,K,information storage and processing
b0080,"transcriptional regulator, LacI family",COG1609,transcription,K,information storage and processing
b0113,"transcriptional regulator, GntR family",COG2186,transcription,K,information storage and processing
b0162,"transcriptional regulator, CdaR family",COG3835,transcription,K,information storage and processing
b0176,site-2 protease. Metallo peptidase. MEROPS family M50B,COG0750,transcription,K,information storage and processing
b0189,"transcriptional antiterminator, Rof",COG4568,transcription,K,information storage and processing
b0208,"transcriptional regulator, LysR family",COG0583,transcription,K,information storage and processing
b0254,CP4-6 prophage; predicted DNA-binding transcriptional regulator,COG0583,transcription,K,information storage and processing
b0272,"transcriptional regulator, IclR family",COG1414,transcription,K,information storage and processing
b0294,predicted regulator,COG2771,transcription,K,information storage and processing
b0305,"transcriptional regulator, AraC family",COG2207,transcription,K,information storage and processing
b0313,"transcriptional regulator, TetR family",COG1309,transcription,K,information storage and processing
b0316,predicted DNA-bindng transcriptional regulator,COG0583,transcription,K,information storage and processing
b0338,transcriptional activator of cyn operon; autorepressor,COG0583,transcription,K,information storage and processing
b0345,"transcriptional regulator, LacI family",COG1609,transcription,K,information storage and processing
b0346,"transcriptional regulator, IclR family",COG1414,transcription,K,information storage and processing
b0357,regulator protein that represses frmRAB operon,COG1937,transcription,K,information storage and processing
b0394,N-acetylglucosamine kinase (EC 2.7.1.59),COG1940,transcription,K,information storage and processing
b0399,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),COG0745,transcription,K,information storage and processing
b0413,conserved protein,COG1327,transcription,K,information storage and processing
b0416,NusB antitermination factor,COG0781,transcription,K,information storage and processing
b0445,predicted transporter subunit: periplasmic-binding component of ABC superfamily,COG4533,transcription,K,information storage and processing
b0447,"transcriptional regulator, AsnC family",COG1522,transcription,K,information storage and processing
b0454,O(6)-alkylguanine repair protein YbaZ,COG3695,transcription,K,information storage and processing
b0464,"transcriptional regulator, TetR family",COG1309,transcription,K,information storage and processing
b0487,DNA-binding transcriptional activator of copper-responsive regulon genes,COG0789,transcription,K,information storage and processing
b0504,DNA-binding transcriptional activator of the allD operon,COG0583,transcription,K,information storage and processing
b0506,"transcriptional regulator, IclR family",COG1414,transcription,K,information storage and processing
