b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0111,predicted inner membrane protein,COG3725,defense mechanisms,V,cellular processes and signaling
b0127,predicted transporter subunit: ATP-binding component of ABC superfamily,COG1131,defense mechanisms,V,cellular processes and signaling
b0192,lipoprotein involved with copper homeostasis and adhesion,COG3015,defense mechanisms,V,cellular processes and signaling
b0226,antitoxin of YafQ-DinJ toxin-antitoxin system,COG3077,defense mechanisms,V,cellular processes and signaling
b0232,antitoxin of the YafO-YafN toxin-antitoxin system,COG2161,defense mechanisms,V,cellular processes and signaling
b0355,S-formylglutathione hydrolase,COG0627,defense mechanisms,V,cellular processes and signaling
b0376,penicillin-binding protein,COG1680,defense mechanisms,V,cellular processes and signaling
b0448,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,COG1132,defense mechanisms,V,cellular processes and signaling
b0449,fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components,COG1132,defense mechanisms,V,cellular processes and signaling
b0462,multidrug efflux system protein,COG0841,defense mechanisms,V,cellular processes and signaling
b0463,multidrug efflux system,COG0845,defense mechanisms,V,cellular processes and signaling
b0480,bifunctional UDP-sugar hydrolase/5'-nucleotidase,COG0737,defense mechanisms,V,cellular processes and signaling
b0483,predicted DNA-binding transcriptional regulator,COG3093,defense mechanisms,V,cellular processes and signaling
b0543,DLP12 prophage; multidrug resistance protein,COG2076,defense mechanisms,V,cellular processes and signaling
b0574,"copper/silver efflux system, membrane fusion protein",COG0845,defense mechanisms,V,cellular processes and signaling
b0605,"alkyl hydroperoxide reductase, C22 subunit",COG0450,defense mechanisms,V,cellular processes and signaling
b0606,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",COG3634,defense mechanisms,V,cellular processes and signaling
b0792,predicted transporter subunit: membrane component of ABC superfamily,COG0842,defense mechanisms,V,cellular processes and signaling
b0793,predicted transporter subunit: membrane component of ABC superfamily,COG0842,defense mechanisms,V,cellular processes and signaling
b0794,fused predicted transporter subunits of ABC superfamily: ATP-binding components,COG1131,defense mechanisms,V,cellular processes and signaling
b0795,"predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor",COG1566,defense mechanisms,V,cellular processes and signaling
b0812,Fe-binding and storage protein,COG0783,defense mechanisms,V,cellular processes and signaling
b0878,"macrolide transporter subunit, membrane fusion protein (MFP) component",COG0845,defense mechanisms,V,cellular processes and signaling
b0914,fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component,COG1132,defense mechanisms,V,cellular processes and signaling
b1010,conserved protein,COG0251,defense mechanisms,V,cellular processes and signaling
b1290,antimicrobial peptide transport ABC system ATP-binding protein,COG4167,defense mechanisms,V,cellular processes and signaling
b1291,antimicrobial peptide transport ABC system ATP-binding protei,COG4170,defense mechanisms,V,cellular processes and signaling
b1292,antimicrobial peptide transport ABC transporter permease,COG4171,defense mechanisms,V,cellular processes and signaling
b1293,antimicrobial peptide transport ABC transporter permease,COG4168,defense mechanisms,V,cellular processes and signaling
b1429,potassium-tellurite ethidium and proflavin transporter,COG1275,defense mechanisms,V,cellular processes and signaling
b1438,antitoxin for the HicAB toxin-antitoxin system; mutational suppressor of null rpoE lethality,COG1598,defense mechanisms,V,cellular processes and signaling
b1477,predicted DNA-binding transcriptional regulator,COG3093,defense mechanisms,V,cellular processes and signaling
b1482,"osmotically inducible, stress-inducible membrane protein",COG1764,defense mechanisms,V,cellular processes and signaling
b1563,Qin prophage; toxin of the RelE-RelB toxin-antitoxin system,COG2026,defense mechanisms,V,cellular processes and signaling
b1564,Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor,COG3077,defense mechanisms,V,cellular processes and signaling
b1599,multidrug efflux system transporter,COG2076,defense mechanisms,V,cellular processes and signaling
b1600,multidrug efflux system transporter,COG2076,defense mechanisms,V,cellular processes and signaling
b1644,predicted membrane fusion protein (MFP) of YdhJK efflux pump,COG1566,defense mechanisms,V,cellular processes and signaling
b1663,multidrug efflux system transporter,COG0534,defense mechanisms,V,cellular processes and signaling
b1710,predicted glutathione peroxidase,COG0386,defense mechanisms,V,cellular processes and signaling
b1809,"conserved protein, UPF0076 famiily",COG0251,defense mechanisms,V,cellular processes and signaling
b1832,free methionine-(R)-sulfoxide reductase,COG1956,defense mechanisms,V,cellular processes and signaling
b1865,dihydroneopterin triphosphate pyrophosphatase,COG0494,defense mechanisms,V,cellular processes and signaling
b1985,"predicted multdrug exporter, MATE family",COG0534,defense mechanisms,V,cellular processes and signaling
b4539,toxin of the YoeB-YefM toxin-antitoxin system,COG4115,defense mechanisms,V,cellular processes and signaling
b2017,antitoxin of the YoeB-YefM toxin-antitoxin system,COG2161,defense mechanisms,V,cellular processes and signaling
b2074,"multidrug efflux system, subunit A",COG0845,defense mechanisms,V,cellular processes and signaling
b2075,"multidrug efflux system, subunit B",COG0841,defense mechanisms,V,cellular processes and signaling
b2076,"multidrug efflux system, subunit C",COG0841,defense mechanisms,V,cellular processes and signaling
b2154,S-formylglutathione hydrolase,COG0627,defense mechanisms,V,cellular processes and signaling
b4544,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit,COG2076,defense mechanisms,V,cellular processes and signaling
