b_number,cog_desc,cog_id,cog_category,,cog_letter,cog_class
b0002,aspartate kinase (EC 2.7.2.4)/homoserine dehydrogenase (EC 1.1.1.3),COG0527,amino acid transport and metabolism,,E,metabolism
b0003,homoserine kinase (EC 2.7.1.39),COG0083,amino acid transport and metabolism,,E,metabolism
b0004,L-threonine synthase (EC 4.2.3.1),COG0498,amino acid transport and metabolism,,E,metabolism
b0007,predicted transporter,COG1115,amino acid transport and metabolism,,E,metabolism
b0031,dihydrodipicolinate reductase (EC 1.3.1.26),COG0289,amino acid transport and metabolism,,E,metabolism
b0032,carbamoyl-phosphate synthase small subunit,COG0505,amino acid transport and metabolism,,E,metabolism
b0033,carbamoyl-phosphate synthase large subunit,COG0458,amino acid transport and metabolism,,E,metabolism
b0071,"3-isopropylmalate dehydratase, small subunit (EC 4.2.1.33)",COG0066,amino acid transport and metabolism,,E,metabolism
b0072,"3-isopropylmalate dehydratase, large subunit (EC 4.2.1.33)",COG0065,amino acid transport and metabolism,,E,metabolism
b0073,3-isopropylmalate dehydrogenase (EC 1.1.1.85),COG0473,amino acid transport and metabolism,,E,metabolism
b0074,2-isopropylmalate synthase (EC 2.3.3.13),COG0119,amino acid transport and metabolism,,E,metabolism
b0077,"acetolactate synthase, large subunit (EC 2.2.1.6)",COG0028,amino acid transport and metabolism,,E,metabolism
b0078,"acetolactate synthase, small subunit (EC 2.2.1.6)",COG0440,amino acid transport and metabolism,,E,metabolism
b0112,"aromatic amino acid:proton symporter, AAT family (TC 2.A.3.1.3)",COG1113,amino acid transport and metabolism,,E,metabolism
b0120,adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50),COG1586,amino acid transport and metabolism,,E,metabolism
b0121,spermidine synthase (EC 2.5.1.16),COG0421,amino acid transport and metabolism,,E,metabolism
b0166,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)",COG2171,amino acid transport and metabolism,,E,metabolism
b0186,L-lysine decarboxylase (EC 4.1.1.18),COG1982,amino acid transport and metabolism,,E,metabolism
b0198,DL-methionine transporter subunit,COG2011,amino acid transport and metabolism,,E,metabolism
b0199,DL-methionine transporter subunit,COG1135,amino acid transport and metabolism,,E,metabolism
b0200,"D-alpha,beta-D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)",COG0241,amino acid transport and metabolism,,E,metabolism
b0237,Xaa-His dipeptidase (EC:3.4.13.3). Metallo peptidase. MEROPS family M20C,COG2195,amino acid transport and metabolism,,E,metabolism
b0242,glutamate 5-kinase (EC 2.7.2.11),COG0263,amino acid transport and metabolism,,E,metabolism
b0243,glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41),COG0014,amino acid transport and metabolism,,E,metabolism
b0260,"S-methylmethionine:proton symporter, AAT family (TC 2.A.3.1.10)",COG0833,amino acid transport and metabolism,,E,metabolism
b0261,homocysteine S-methyltransferase (EC 2.1.1.10),COG2040,amino acid transport and metabolism,,E,metabolism
b0262,CP4-6 prophage; predicted ferric transporter subunit,COG3842,amino acid transport and metabolism,,E,metabolism
b0268,CP4-6 prophage; predicted lyase/synthase,COG0329,amino acid transport and metabolism,,E,metabolism
b0269,CP4-6 prophage; predicted dehydratase,COG0129,amino acid transport and metabolism,,E,metabolism
b0273,ornithine carbamoyltransferase (EC 2.1.3.3),COG0078,amino acid transport and metabolism,,E,metabolism
b0323,carbamate kinase (EC 2.7.2.2),COG0549,amino acid transport and metabolism,,E,metabolism
b0328,"inner membrane protein, LysE transporter family; overproduction confers sensitivity to L-homoserine",COG1280,amino acid transport and metabolism,,E,metabolism
b0352,4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39),COG0119,amino acid transport and metabolism,,E,metabolism
b0386,pyrroline-5-carboxylate reductase (EC 1.5.1.2),COG0345,amino acid transport and metabolism,,E,metabolism
b0388,shikimate kinase (EC 2.7.1.71),COG0703,amino acid transport and metabolism,,E,metabolism
b0401,"Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val",COG1114,amino acid transport and metabolism,,E,metabolism
b0402,"proline:proton symporter, AAT family (TC 2.A.3.1.6)",COG1113,amino acid transport and metabolism,,E,metabolism
b0450,nitrogen regulatory protein P-II family,COG0347,amino acid transport and metabolism,,E,metabolism
b0485,L-glutaminase (EC 3.5.1.2),COG2066,amino acid transport and metabolism,,E,metabolism
b0486,"amino acid/polyamine/organocation transporter, APC superfamily (TC 2.A.3)",COG1113,amino acid transport and metabolism,,E,metabolism
b0494,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,COG2755,amino acid transport and metabolism,,E,metabolism
b0516,allantoate amidohydrolase,COG0624,amino acid transport and metabolism,,E,metabolism
b0521,carbamate kinase (EC 2.7.2.2),COG0549,amino acid transport and metabolism,,E,metabolism
b0576,"phenylalanine:proton symporter, AAT family (TC 2.A.3.1.1)",COG1113,amino acid transport and metabolism,,E,metabolism
b0600,2-keto-4-methylthiobutyrate aminotransferase apoenzyme (EC 2.6.1.-),COG0436,amino acid transport and metabolism,,E,metabolism
b0608,glutathione-independent formaldehyde dehydrogenase,COG1063,amino acid transport and metabolism,,E,metabolism
b0652,L-aspartate ABC transporter ATP-binding protein/L-glutamate ABC transporter ATP-binding protein,COG1126,amino acid transport and metabolism,,E,metabolism
b0653,L-aspartate ABC transporter membrane protein/L-glutamate ABC transporter membrane protein,COG0765,amino acid transport and metabolism,,E,metabolism
b0654,L-aspartate ABC transporter membrane protein/L-glutamate ABC transporter membrane protein,COG0765,amino acid transport and metabolism,,E,metabolism
b0655,L-aspartate-binding protein/L-glutamate-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b0674,asparagine synthase (glutamine-hydrolysing) (EC 6.3.5.4),COG0367,amino acid transport and metabolism,,E,metabolism
b0692,"putrescine:ornithine antiporter, APA family (TC 2.A.3.2.1)",COG0531,amino acid transport and metabolism,,E,metabolism
b0693,ornithine decarboxylase (EC 4.1.1.17),COG1982,amino acid transport and metabolism,,E,metabolism
b0709,dipeptide and tripeptide permease D,COG3104,amino acid transport and metabolism,,E,metabolism
b0711,predicted enzyme subunit,COG2049,amino acid transport and metabolism,,E,metabolism
b0712,predicted enzyme subunit,COG1984,amino acid transport and metabolism,,E,metabolism
b0754,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54),COG0722,amino acid transport and metabolism,,E,metabolism
b0800,predicted transferase/phosphorylase,COG0547,amino acid transport and metabolism,,E,metabolism
b0809,L-glutamine ABC transporter ATP-binding protein,COG1126,amino acid transport and metabolism,,E,metabolism
b0810,L-glutamine ABC transporter membrane protein,COG0765,amino acid transport and metabolism,,E,metabolism
b0811,L-glutamine-binding protein,COG0834,amino acid transport and metabolism,,E,metabolism
b0813,threonine and homoserine efflux system,COG5006,amino acid transport and metabolism,,E,metabolism
