b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0037,probable crotonobetaine/carnitine-CoA ligase,COG0318,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0187,predicted lyase,COG0346,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0207,"2,5-diketo-D-gluconate reductase B",COG0656,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0350,2-keto-4-pentenoate hydratase (EC 4.2.1.80),COG3971,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0351,acetaldehyde dehydrogenase (EC 1.2.1.10),COG4569,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0368,"taurine dioxygenase, 2-oxoglutarate-dependent",COG2175,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0495,predicted transporter subunit: ATP-binding component of ABC superfamily,COG4181,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0496,predicted ABC transporter permease,COG3127,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0507,glyoxylate carboligase,COG3960,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0583,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,COG2977,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0586,"enterobactin synthase multienzyme complex component, ATP-dependent",COG1020,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0593,isochorismate synthase (EC 5.4.4.2),COG1169,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0594,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex",COG1021,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0595,isochorismatase,COG1535,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0596,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",COG1028,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b0597,thioesterase required for efficient enterobactin production,COG2050,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1087,Maf-like protein,COG0424,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1093,3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100),COG1028,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1094,acyl carrier protein,COG0236,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1095,3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41),COG0304,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1180,predicted isomerase/hydrolase,COG0179,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1271,"predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system",COG1028,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1386,tyramine oxidase (EC 1.4.3.-),COG3733,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1388,"phenylacetyl-CoA oxygenase, alpha subunit",COG3396,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1389,multicomponent oxygenase/reductase subunit for phenylacetic acid degradation,COG3460,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1390,multicomponent oxygenase/reductase subunit for phenylacetic acid degradation,COG3396,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1396,predicted thioesterase,COG2050,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1433,"inner membrane protein, predicted transporter, function unknown",COG3135,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
b1449,"predicted NADP-dependent, Zn-dependent oxidoreductase",COG2130,"secondary metabolites biosynthesis, transport, and catabolism",Q,metabolism
