b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0059,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),COG0553,"Replication, recombination, and repair",L,information storage and processing
b0060,DNA damage-inducible DNA polymerase II (EC 2.7.7.7),COG0417,"Replication, recombination, and repair",L,information storage and processing
b0101,DNA gyrase inhibitor,COG3024,"Replication, recombination, and repair",L,information storage and processing
b0132,predicted transposase,COG5464,"Replication, recombination, and repair",L,information storage and processing
b0183,RNase HII (EC 3.1.26.4),COG0164,"Replication, recombination, and repair",L,information storage and processing
b0184,"DNA polymerase III, alpha subunit (EC 2.7.7.7)",COG0587,"Replication, recombination, and repair",L,information storage and processing
b0214,RNase HI (EC 3.1.26.4),COG0328,"Replication, recombination, and repair",L,information storage and processing
b0215,"DNA polymerase III, epsilon subunit (EC 2.7.7.7)",COG0847,"Replication, recombination, and repair",L,information storage and processing
b0231,DNA polymerase IV,COG0389,"Replication, recombination, and repair",L,information storage and processing
b0247,CP4-6 prophage; predicted DNA repair protein,COG2003,"Replication, recombination, and repair",L,information storage and processing
b0278,CP4-6 prophage; DNA-binding protein,COG1961,"Replication, recombination, and repair",L,information storage and processing
b0393,nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function,COG2974,"Replication, recombination, and repair",L,information storage and processing
b0397,"exonuclease, dsDNA, ATP-dependent",COG0419,"Replication, recombination, and repair",L,information storage and processing
b0398,Exodeoxyribonuclease I subunit D (EC 3.1.11.1),COG0420,"Replication, recombination, and repair",L,information storage and processing
b0422,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6),COG1722,"Replication, recombination, and repair",L,information storage and processing
b0440,bacterial nucleoid protein HU beta subunit,COG0776,"Replication, recombination, and repair",L,information storage and processing
b0442,"conserved protein, ComEA homolog",COG1555,"Replication, recombination, and repair",L,information storage and processing
b0467,restart primosome assembly protein PriC,COG3923,"Replication, recombination, and repair",L,information storage and processing
b0470,"DNA polymerase III, gamma subunit (EC 2.7.7.7)/DNA polymerase III, tau subunit (EC 2.7.7.7)",COG2812,"Replication, recombination, and repair",L,information storage and processing
b0472,DNA replication and repair protein RecR,COG0353,"Replication, recombination, and repair",L,information storage and processing
b0537,DLP12 prophage; predicted integrase,COG4974,"Replication, recombination, and repair",L,information storage and processing
b0544,DLP12 prophage; predicted recombinase,COG1961,"Replication, recombination, and repair",L,information storage and processing
b0550,DLP12 prophage; endonuclease RUS,COG4570,"Replication, recombination, and repair",L,information storage and processing
b0640,"DNA polymerase III, delta subunit (EC 2.7.7.7)",COG1466,"Replication, recombination, and repair",L,information storage and processing
b0687,negative regulator of replication initiation SeqA,COG3057,"Replication, recombination, and repair",L,information storage and processing
b0708,deoxyribodipyrimidine photo-lyase type I,COG0415,"Replication, recombination, and repair",L,information storage and processing
b0714,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)/endonuclease VIII (EC 3.2.2.-),COG0266,"Replication, recombination, and repair",L,information storage and processing
b0779,Excinuclease ABC subunit B,COG0556,"Replication, recombination, and repair",L,information storage and processing
b0797,ATP-dependent RNA helicase,COG0513,"Replication, recombination, and repair",L,information storage and processing
b0799,ATP-dependent DNA helicase,COG1199,"Replication, recombination, and repair",L,information storage and processing
b0876,conserved protein with nucleoside triphosphate hydrolase domain,COG3593,"Replication, recombination, and repair",L,information storage and processing
b0892,Recombination protein MgsA,COG2256,"Replication, recombination, and repair",L,information storage and processing
