cog,gene_name,gene_product
Not Assigned,InsH-1,CP4-6 prophage; IS5 transposase and trans-activator
Defense Mechanisms,aaeA,aromatic carboxylic acid efflux pump membrane fusion protein
Function unknown,aaeB,aromatic carboxylic acid efflux pump subunit AaeB
Transcription,aaeR,LysR-type transcriptional regulator AaeR
"Secondary metabolites, biosynthesis, transport, and catabolism",aas,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase
"Post-translational modification, protein turnover, and chaperones",aat,leucyl/phenylalanyl-tRNA-protein transferase
General function prediction only,abgA,p-aminobenzoyl-glutamate hydrolase subunit A
General function prediction only,abgB,p-aminobenzoyl-glutamate hydrolase subunit B
Transcription,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR
Coenzyme transport and metabolism,abgT,p-aminobenzoyl glutamate:H+ symporter
General function prediction only,abrB,putative regulator
Lipid transport and metabolism,accA,acetyl-CoA carboxyltransferase subunit α
Coenzyme transport and metabolism,accB,biotin carboxyl carrier protein
Lipid transport and metabolism,accC,biotin carboxylase
Lipid transport and metabolism,accD,acetyl-CoA carboxyltransferase subunit β
Energy production and conversion,aceA,isocitrate lyase
Energy production and conversion,aceB,MALATE-SYNTHASE
Energy production and conversion,aceE,pyruvate dehydrogenase E1 component
Energy production and conversion,aceF,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit"""
Signal transduction mechanisms,aceK,isocitrate dehydrogenase kinase/phosphatase
Energy production and conversion,ackA,acetate kinase
Energy production and conversion,acnA,aconitate hydratase 1
Energy production and conversion,acnB,AcnB
Lipid transport and metabolism,acpH,EG11095-MONOMER
"Secondary metabolites, biosynthesis, transport, and catabolism",acpP,"octanoyl-ACP // ""lipoyl-ACP"" // ""cis-&Delta;5-dodecenoyl-ACP"" // ""trans-&Delta;2-cis-&Delta;5-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""cis-&Delta;3-decenoyl-ACP"" // ""3-oxo-cis-&Delta;5-dodecenoyl-ACP"" // ""(3R)-hydroxy cis &Delta;5-dodecenoyl-ACP"" // ""(3R)-3-hydroxypalmitoyl-ACP"" // ""(3R)-3-hydroxybutanoyl-ACP"" // ""trans oct-2-enoyl-ACP"" // ""trans-but-2-enoyl-ACP"" // ""(3R)-3-hydroxyoctanoyl-ACP"" // ""trans-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein"""
Lipid transport and metabolism,acpS,holo-[acyl-carrier-protein] synthase
Coenzyme transport and metabolism,acpT,holo-[acyl carrier protein] synthase 2
Cell wall/membrane/envelope biogenesis,acrA,multidrug efflux pump membrane fusion lipoprotein AcrA
Defense Mechanisms,acrB,multidrug efflux pump RND permease AcrB
Defense Mechanisms,acrD,multidrug efflux pump RND permease AcrD
Defense Mechanisms,acrF,multidrug efflux pump RND permease AcrF
Transcription,acrR,DNA-binding transcriptional repressor AcrR
Lipid transport and metabolism,acs,acetyl-CoA synthetase (AMP-forming)
Energy production and conversion,actP,acetate/glycolate:cation symporter
Energy production and conversion,acuI,acrylyl-CoA reductase
"Replication, recombination, and repair",ada,DNA-binding transcriptional dual regulator / DNA repair protein Ada
Nucleotide transport and metabolism,add,adenosine deaminase
Nucleotide transport and metabolism,ade,adenine deaminase
Nucleotide transport and metabolism,adeP,adenine:H+ symporter
Energy production and conversion,adhE,aldehyde/alcohol dehydrogenase AdhE
Carbohydrate transport and metabolism,adhP,ethanol dehydrogenase / alcohol dehydrogenase
Aminio acid transport and metabolism,adiA,"arginine decarboxylase, degradative"
Aminio acid transport and metabolism,adiC,arginine:agmatine antiporter
Transcription,adiY,DNA-binding transcriptional activator AdiY
Nucleotide transport and metabolism,adk,adenylate kinase
Signal transduction mechanisms,adrA,diguanylate cyclase DgcC
Aminio acid transport and metabolism,aegA,putative oxidoreductase AegA
Signal transduction mechanisms,aer,"aerotaxis sensor receptor, flavoprotein"
Lipid transport and metabolism,aes,acetylesterase
Aminio acid transport and metabolism,afuC,CP4-6 prophage; ABC transporter ATP-binding protein AfuC
Transcription,agaR,DNA-binding transcriptional repressor AgaR
Carbohydrate transport and metabolism,agaV,N-acetyl-D-galactosamine specific PTS enzyme IIB component
No Specific COG Annotation,agp,glucose-1-phosphatase
Defense Mechanisms,ahpC,"alkyl hydroperoxide reductase, AhpC component"
Defense Mechanisms,ahpF,"alkyl hydroperoxide reductase, AhpF component"
Carbohydrate transport and metabolism,ahr,"aldehyde reductase, NADPH-dependent"
Lipid transport and metabolism,aidB,putative acyl-CoA dehydrogenase AidB
No Specific COG Annotation,ais,putative lipopolysaccharide core heptose(II)-phosphate phosphatase
Aminio acid transport and metabolism,alaA,glutamate-pyruvate aminotransferase AlaA
Aminio acid transport and metabolism,alaC,glutamate-pyruvate aminotransferase AlaC
"Translation, ribosomal structure, and biogenesis",alaS,alanine-tRNA ligase/DNA-binding transcriptional repressor
Energy production and conversion,aldA,aldehyde dehydrogenase A
Energy production and conversion,aldB,aldehyde dehydrogenase B
"Replication, recombination, and repair",alkA,DNA-3-methyladenine glycosylase 2
"Replication, recombination, and repair",alkB,DNA oxidative demethylase
Nucleotide transport and metabolism,allB,allantoinase
Aminio acid transport and metabolism,allC,allantoate amidohydrolase
Transcription,allR,DNA-binding transcriptional repressor AllR
