cog,complex,complex_annotation,func,gene_name
Carbohydrate transport and metabolism,CPLX0-3901,α-D-xyloside xylohydrolase,α-D-xyloside xylohydrolase,yicI
Carbohydrate transport and metabolism,CPLX0-7615,α-dehydro-β-deoxy-D-glucarate aldolase,α-dehydro-β-deoxy-D-glucarate aldolase,garL
Carbohydrate transport and metabolism,ALPHAGALACTOSID-CPLX,α-galactosidase,α-galactosidase,melA
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-227,taurine dioxygenase,taurine dioxygenase,tauD
"Replication, recombination, and repair",CPLX0-3761,β sliding clamp,β sliding clamp,dnaN
Carbohydrate transport and metabolism,CPLX0-7662,β-glucuronidase,β-glucuronidase,uidA
Carbohydrate transport and metabolism,BETAGALACTOSID-CPLX,β-galactosidase,β-galactosidase,lacZ
Carbohydrate transport and metabolism,CPLX-153,6-phospho-β-glucosidase AscB,6-phospho-β-glucosidase AscB,ascB
Lipid transport and metabolism,FABA-CPLX,β-hydroxyacyl-acyl carrier protein dehydratase/isomerase,β-hydroxyacyl-acyl carrier protein dehydratase/isomerase,fabA
"Secondary metabolites, biosynthesis, transport, and catabolism",FABB-CPLX,β-ketoacyl-[acyl carrier protein] synthase I,β-ketoacyl-[acyl carrier protein] synthase I,fabB
"Secondary metabolites, biosynthesis, transport, and catabolism",3-OXOACYL-ACP-SYNTHII-CPLX,β-ketoacyl-[acyl carrier protein] synthase II,β-ketoacyl-[acyl carrier protein] synthase II,fabF
Lipid transport and metabolism,CPLX0-252,β-ketoacyl-[acyl carrier protein] synthase III,β-ketoacyl-[acyl carrier protein] synthase III,fabH
Energy production and conversion,CPLX0-3641,γ-aminobutyraldehyde dehydrogenase,γ-aminobutyraldehyde dehydrogenase,prr
Lipid transport and metabolism,CARNDEHYDRA-CPLX,γ-butyrobetainyl-CoA:carnitine CoA transferase,γ-butyrobetainyl-CoA:carnitine CoA transferase,caiB
Aminio acid transport and metabolism,CPLX0-3943,γ-glutamyl-γ-aminobutyrate hydrolase,γ-glutamyl-γ-aminobutyrate hydrolase,puuD
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-8128,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase","1,4-dihydroxy-2-naphthoyl-CoA hydrolase",ydiI
Coenzyme transport and metabolism,CPLX0-7882,"1,4-dihydroxy-2-naphthoyl-CoA synthase","1,4-dihydroxy-2-naphthoyl-CoA synthase",menB
Lipid transport and metabolism,DXPREDISOM-CPLX,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr
Coenzyme transport and metabolism,CPLX0-743,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,dxs
Lipid transport and metabolism,CPLX0-7564,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,ispH
Carbohydrate transport and metabolism,1-PFK,1-phosphofructokinase,1-phosphofructokinase,fruK
"Translation, ribosomal structure, and biogenesis",CPLX0-8231,16S rRNA 2'-O-ribose C1402 methyltransferase,16S rRNA 2'-O-ribose C1402 methyltransferase,rsmI
"Translation, ribosomal structure, and biogenesis",CPLX0-7727,16S rRNA m3U1498 methyltransferase,16S rRNA m3U1498 methyltransferase,rsmE
"Translation, ribosomal structure, and biogenesis",CPLX0-7977,16S rRNA m4C1402 methyltransferase,16S rRNA m4C1402 methyltransferase,rsmH
"Translation, ribosomal structure, and biogenesis",CPLX0-7758,"2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity","2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity",ymdB
Carbohydrate transport and metabolism,PHOSGLYCMUTASE,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTA-CPLX,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTE-CPLX,"2,3-dihydroxybenzoate-AMP ligase","2,3-dihydroxybenzoate-AMP ligase",entE
Lipid transport and metabolism,CPLX0-721,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF
Lipid transport and metabolism,CPLX0-234,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD
Coenzyme transport and metabolism,AKBLIG-CPLX,2-amino-3-ketobutyrate CoA ligase,2-amino-3-ketobutyrate CoA ligase,kbl
Function unknown,CPLX0-8259,2-amino-6-N-hydroxylaminopurine resistance protein,2-amino-6-N-hydroxylaminopurine resistance protein,yiiM
General function prediction only,CPLX0-7950,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase","2-hydroxy-6-ketonona-2,4-dienedioate hydrolase",mhpC
General function prediction only,CPLX0-8127,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase","2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",paaY
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-7951,2-hydroxypentadienoate hydratase,2-hydroxypentadienoate hydratase,mhpD
Carbohydrate transport and metabolism,CPLX0-7723,2-keto-3-deoxy-L-rhamnonate aldolase,2-keto-3-deoxy-L-rhamnonate aldolase,yfau
Energy production and conversion,CPLX0-251,2-methylcitrate synthase,2-methylcitrate synthase,prpC
Energy production and conversion,E1O,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,sucA
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,lipoamide dehydrogenase,lipoamide dehydrogenase,lpdA
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,sucA
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""","SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",sucB
Coenzyme transport and metabolism,CPLX0-7525,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD
"Translation, ribosomal structure, and biogenesis",CPLX0-1121,23S rRNA 2'-O-ribose G2251 methyltransferase,23S rRNA 2'-O-ribose G2251 methyltransferase,rlmB
"Translation, ribosomal structure, and biogenesis",CPLX0-7423,23S rRNA m3Ψ1915 methyltransferase,23S rRNA m3Ψ1915 methyltransferase,rlmH
"Translation, ribosomal structure, and biogenesis",CPLX0-7726,23S rRNA m5C1962 methyltransferase,23S rRNA m5C1962 methyltransferase,rlmI
Coenzyme transport and metabolism,DIOHBUTANONEPSYN-CPLX,"3,4-dihydroxy-2-butanone-4-phosphate synthase","3,4-dihydroxy-2-butanone-4-phosphate synthase",ribB
Aminio acid transport and metabolism,AROD-CPLX,3-dehydroquinate dehydratase,3-dehydroquinate dehydratase,aroD
Aminio acid transport and metabolism,AROF-CPLX,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive","3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",aroF
Aminio acid transport and metabolism,AROG-CPLX,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive","3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",aroG
Aminio acid transport and metabolism,AROH-CPLX,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive","3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",aroF
