cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Not Assigned,Not Assigned,Not Assigned,Lac repressor ,lacI,"regulation of transcription, DNA-templated",GO:0006355,B8LFD5
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,carbohydrate metabolic process,GO:0005975,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,cell cycle,GO:0007049,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,cell division,GO:0051301,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,cell wall organization,GO:0071555,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,peptidoglycan biosynthetic process,GO:0009252,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,peptidoglycan turnover,GO:0009254,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,regulation of cell shape,GO:0008360,D0EX67
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uncharacterized protein ygbT ,ygbT,defense response to virus,GO:0051607,D4HZR9
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uncharacterized protein ygbT ,ygbT,maintenance of CRISPR repeat elements,GO:0043571,D4HZR9
Not Assigned,Not Assigned,Not Assigned,CRISPR-associated endonuclease Cas1 ,cas1,defense response to virus,GO:0051607,D8FH86
Not Assigned,Not Assigned,Not Assigned,CRISPR-associated endonuclease Cas1 ,cas1,maintenance of CRISPR repeat elements,GO:0043571,D8FH86
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,GsiB ,gsiB,transmembrane transport,GO:0055085,D9IX93
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,D-gluconate catabolic process,GO:0046177,P00350
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,pentose-phosphate shunt,GO:0006098,P00350
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,"pentose-phosphate shunt, oxidative branch",GO:0009051,P00350
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,anaerobic respiration,GO:0009061,P00363
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,bacterial-type flagellum assembly,GO:0044780,P00363
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,bacterial-type flagellum-dependent cell motility,GO:0071973,P00363
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,cellular response to DNA damage stimulus,GO:0006974,P00363
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,fermentation,GO:0006113,P00363
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,NADP-specific glutamate dehydrogenase ,gdhA,glutamate biosynthetic process,GO:0006537,P00370
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,aerobic electron transport chain,GO:0019646,P00393
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,aerobic respiration,GO:0009060,P00393
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,anaerobic respiration,GO:0009061,P00393
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,copper ion homeostasis,GO:0055070,P00393
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,cellular response to selenium ion,GO:0071291,P00448
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,oxidation-reduction process,GO:0055114,P00448
