,gene_name,b_number,condition,reported_tot_per_cell,reported_fg_per_cell,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,corrected_volume,dataset,dataset_name,strain
0,isph,b0029,M9_glucose,528.5961426,0.030514005225798897,metabolism,lipid transport and metabolism,I,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,upps,b0174,M9_glucose,108.8141991,0.005137884391472664,metabolism,lipid transport and metabolism,I,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,phoe,b0241,M9_glucose,0.0,0.0,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,outer membrane porin PhoE,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,malz,b0403,M9_glucose,23.47754723,0.0026907161415886736,metabolism,carbohydrate transport and metabolism,G,maltodextrin glucosidase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,fes,b0585,M9_glucose,4039.149083,0.3060960883356125,metabolism,inorganic ion transport and metabolism,P,ferric enterobactin esterase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,ente,b0594,M9_glucose,3724.531866,0.36547311592056664,metabolism,"secondary metabolites biosynthesis, transport, and catabolism",Q,"2,3-dihydroxybenzoate-AMP ligase",0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,tate,b0627,M9_glucose,312.3621697,0.0036420929207548482,Not Assigned,Not Assigned,Not Assigned,twin arginine protein translocation system - TatE protein,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,kdpb,b0697,M9_glucose,19.77687311,0.0023702649663703574,metabolism,inorganic ion transport and metabolism,P,K+ transporting P-type ATPase subunit KdpB,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,suca,b0726,M9_glucose,5689.473258,0.9922607494571135,metabolism,energy production and conversion,C,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,sucb,b0727,M9_glucose,5785.8846969999995,0.42270666852344724,metabolism,energy production and conversion,C,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,faba,b0954,M9_glucose,9745.399021,0.30686838688871937,metabolism,lipid transport and metabolism,I,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,opgg,b1048,M9_glucose,4556.066913000001,0.43799257212898907,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rne,b1084,M9_glucose,4053.3112149999997,0.7952881146277293,information storage and processing,"translation, ribosomal structure and biogenesis",J,ribonuclease E,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rlue,b1135,M9_glucose,0.0,0.0,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2457 synthase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,hlye,b1182,M9_glucose,2.555393371,0.00014319984923424192,Not Assigned,Not Assigned,Not Assigned,hemolysin E,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rlub,b1269,M9_glucose,1128.28619,0.06126623347140941,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine2605 synthase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,opgd,b1424,M9_glucose,384.21865039999994,0.040027238142593305,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,glucan biosynthesis protein D,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rsxg,b1631,M9_glucose,267.35927069999997,0.009724904723700143,metabolism,energy production and conversion,C,SoxR [2Fe-2S] reducing system protein RsxG,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,yoba,b1841,M9_glucose,2624.1341829999997,0.05841480139408979,metabolism,inorganic ion transport and metabolism,P,CopC domain-containing protein,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,sbmc,b2009,M9_glucose,700.5897928999999,0.02102782431540533,information storage and processing,"Replication, recombination, and repair",L,DNA gyrase inhibitor,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rsua,b2183,M9_glucose,1998.3858129999999,0.0858024934283867,information storage and processing,"translation, ribosomal structure and biogenesis",J,16S rRNA pseudouridine516 synthase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,nuoe,b2285,M9_glucose,1441.487193,0.044483429883664195,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit E,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,nuoc,b2286,M9_glucose,2502.557724,0.28346911789907425,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit CD,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,nuob,b2287,M9_glucose,1875.1752609999999,0.07799408962376254,metabolism,energy production and conversion,C,NADH:quinone oxidoreductase subunit B,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,murq,b2428,M9_glucose,75.67916704,0.003922087967681408,cellular processes and signaling,cell wall/membrane/envelope biogenesis,M,N-acetylmuramic acid 6-phosphate etherase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,ispg,b2515,M9_glucose,1881.60269,0.1270748655743336,metabolism,lipid transport and metabolism,I,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,rsea,b2572,M9_glucose,1304.7681460000001,0.05267722169091758,cellular processes and signaling,signal transduction mechanisms,T,anti-sigma-E factor RseA,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
0,eno,b2779,M9_glucose,69336.71054,5.254842082708142,metabolism,carbohydrate transport and metabolism,G,enolase,0.6931471805599453,0.703927489732224,soufi_2015,Soufi et al. 2015,BW25113
