annotation,cog_id,cog_letter,gene_name
Acetylglutamate semialdehyde dehydrogenase,COG0002,E,argC
Ammonia permease,COG0004,P,amtB
Purine nucleoside phosphorylase,COG0005,F,xapA
Xaa-Pro aminopeptidase,COG0006,E,pepP
Xaa-Pro aminopeptidase,COG0006,E,pepQ
Xaa-Pro aminopeptidase,COG0006,E,ypdF
Uroporphyrinogen-III methylase,COG0007,H,cysG_2
Glutamyl- and glutaminyl-tRNA synthetases,COG0008,J,glnS
Glutamyl- and glutaminyl-tRNA synthetases,COG0008,J,gltX
Glutamyl- and glutaminyl-tRNA synthetases,COG0008,J,yadB
Putative translation factor (SUA5),COG0009,J,yciO
Putative translation factor (SUA5),COG0009,J,yrdC
"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",COG0010,E,speB
"Predicted GTPase, probable translation factor",COG0012,J,ychF
Alanyl-tRNA synthetase,COG0013,J,alaS
Gamma-glutamyl phosphate reductase,COG0014,E,proA
Adenylosuccinate lyase,COG0015,F,purB
Phenylalanyl-tRNA synthetase alpha subunit,COG0016,J,pheS
Aspartyl/asparaginyl-tRNA synthetases,COG0017,J,asnS
Arginyl-tRNA synthetase,COG0018,J,argS
Diaminopimelate decarboxylase,COG0019,E,lysA
Undecaprenyl pyrophosphate synthase,COG0020,I,yaeS
Transketolase,COG0021,G,tktA
Transketolase,COG0021,G,tktB
Translation initiation factor 1 (eIF-1/SUI1) and related proteins,COG0023,J,yciH
Methionine aminopeptidase,COG0024,J,map
NhaP-type Na+/H+ and K+/H+ antiporters,COG0025,P,yjcE
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase),COG0026,F,purK
Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),COG0027,F,purT
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,E,ilvB
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,E,ilvG
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,E,ilvI
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,E,poxB
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,E,yfdU
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,H,ilvB
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,H,ilvG
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,H,ilvI
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,H,poxB
"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",COG0028,H,yfdU
Aspartate oxidase,COG0029,H,nadB
Dimethyladenosine transferase (rRNA methylation),COG0030,J,ksgA
Cysteine synthase,COG0031,E,cysK
Cysteine synthase,COG0031,E,cysM
Phosphoglucomutase,COG0033,G,pgm
Glutamine phosphoribosylpyrophosphate amidotransferase,COG0034,F,purF
Uracil phosphoribosyltransferase,COG0035,F,upp
Pentose-5-phosphate-3-epimerase,COG0036,G,alsE
Pentose-5-phosphate-3-epimerase,COG0036,G,rpe
Pentose-5-phosphate-3-epimerase,COG0036,G,sgcE
Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,COG0037,D,mesJ
Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,COG0037,D,ydaO
Chloride channel protein EriC,COG0038,P,yadQ
Chloride channel protein EriC,COG0038,P,yfeO
Chloride channel protein EriC,COG0038,P,ynfJ
Malate/lactate dehydrogenases,COG0039,C,mdh
ATP phosphoribosyltransferase,COG0040,E,hisG
Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,COG0041,F,purE
tRNA-dihydrouridine synthase,COG0042,J,yhdG
tRNA-dihydrouridine synthase,COG0042,J,yjbN
tRNA-dihydrouridine synthase,COG0042,J,yohI
3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,COG0043,H,ubiD
Dihydroorotase and related cyclic amidohydrolases,COG0044,F,ybbX
Dihydroorotase and related cyclic amidohydrolases,COG0044,F,ygeZ
"Succinyl-CoA synthetase, beta subunit",COG0045,C,sucC
"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",COG0046,F,purL_1
"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",COG0047,F,purL_2
Ribosomal protein S12,COG0048,J,rpsL
Ribosomal protein S7,COG0049,J,rpsG
GTPases - translation elongation factors,COG0050,J,tufA
GTPases - translation elongation factors,COG0050,J,tufB
Ribosomal protein S10,COG0051,J,rpsJ
