,Gene,condition,copy_number,dataset,growth_rate,type
0,rplA,Glucose,28502.0,Schmidt,0.58,ribosomal
1,rplA,LB,76877.0,Schmidt,1.9,ribosomal
2,rplA,Glycerol + AA,47366.0,Schmidt,1.27,ribosomal
3,rplA,Acetate,11672.0,Schmidt,0.3,ribosomal
4,rplA,Fumarate,17445.0,Schmidt,0.42,ribosomal
5,rplA,Glucosamine,19397.0,Schmidt,0.46,ribosomal
6,rplA,Glycerol,20511.0,Schmidt,0.47,ribosomal
7,rplA,Pyruvate,15169.0,Schmidt,0.4,ribosomal
8,rplA,Chemostat µ=0.5,17008.0,Schmidt,0.5,ribosomal
9,rplA,Chemostat µ=0.35,12046.0,Schmidt,0.35,ribosomal
10,rplA,Chemostat µ=0.20,8260.0,Schmidt,0.2,ribosomal
11,rplA,Chemostat µ=0.12,7745.0,Schmidt,0.12,ribosomal
12,rplA,stationary_1day,9632.0,Schmidt,-0.01,ribosomal
13,rplA,stationary_3day,10588.0,Schmidt,-0.01,ribosomal
14,rplA,Osmotic-stress glucose,21184.0,Schmidt,0.55,ribosomal
15,rplA,42°C glucose,23302.0,Schmidt,0.66,ribosomal
16,rplA,pH6 glucose,22215.0,Schmidt,0.63,ribosomal
17,rplA,Xylose,24473.0,Schmidt,0.55,ribosomal
18,rplA,Mannose,18987.0,Schmidt,0.47,ribosomal
19,rplA,Galactose,12511.0,Schmidt,0.26,ribosomal
20,rplA,Succinate,18603.0,Schmidt,0.44,ribosomal
21,rplA,Fructose,26063.0,Schmidt,0.65,ribosomal
22,rplB,Glucose,14191.0,Schmidt,0.58,ribosomal
23,rplB,LB,39858.0,Schmidt,1.9,ribosomal
24,rplB,Glycerol + AA,27001.0,Schmidt,1.27,ribosomal
25,rplB,Acetate,6847.0,Schmidt,0.3,ribosomal
26,rplB,Fumarate,9745.0,Schmidt,0.42,ribosomal
27,rplB,Glucosamine,14393.0,Schmidt,0.46,ribosomal
28,rplB,Glycerol,12282.0,Schmidt,0.47,ribosomal
29,rplB,Pyruvate,11648.0,Schmidt,0.4,ribosomal
30,rplB,Chemostat µ=0.5,17428.0,Schmidt,0.5,ribosomal
31,rplB,Chemostat µ=0.35,11427.0,Schmidt,0.35,ribosomal
