"Complexes_Proteins"	"Genes"	"Object_ID"
"<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase"	"purE"	"PURE-CPLX"
"NADPH:quinone oxidoreductase MdaB"	"mdaB"	"CPLX0-253"
"UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase"	"wecC"	"CPLX0-8013"
"tagatose-1,6-bisphosphate aldolase 2"	"gatY" // "gatZ"	"CPLX0-241"
"murein tripeptide amidase A"	"mpaA"	"CPLX0-7989"
"pyridoxal kinase I / hydroxymethylpyrimidine kinase"	"pdxK"	"PDXK-CPLX"
"The Tol-Pal Cell Envelope Complex"	"pal" // "tolA" // "tolB" // "tolR" // "tolQ"	"CPLX0-2201"
"outer membrane channel TolC"	"tolC"	"CPLX0-7964"
"pantothenate synthetase"	"panC"	"PANTOATE-BETA-ALANINE-LIG-CPLX"
"predicted xanthine dehydrogenase"	"xdhD" // "ygfM"	"CPLX0-1841"
"outer membrane phospholipase A"	"pldA"	"CPLX0-7944"
"nitrate reductase Z"	"narY" // "narZ" // "narV"	"NITRATREDUCTZ-CPLX"
"HflK-HflC complex; regulator of FtsH protease"	"hflK" // "hflC"	"CPLX0-1321"
"disulfide reductase / organic hydroperoxide reductase"	"yghU"	"CPLX0-7917"
"methionine&mdash;tRNA ligase"	"metG"	"METG-CPLX"
"5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase"	"kduI"	"CPLX-8401"
"oxalyl-CoA decarboxylase"	"oxc"	"CPLX0-7878"
"L-1,2-propanediol oxidoreductase"	"fucO"	"LACTALDREDUCT-CPLX"
"mannose-specific PTS enzyme II"	"manZ" // "manY" // "manX"	"CPLX-165"
"putative ethanolamine catabolic microcompartment shell protein EutM"	"eutM"	"CPLX0-7835"
"histidinol-phosphate aminotransferase"	"hisC"	"HISTPHOSTRANS-CPLX"
"chemotaxis protein CheZ"	"cheZ"	"CHEZ-CPLX"
"aldehyde dehydrogenase, Fe-S subunit" // "aldehyde dehydrogenase, FAD-binding subunit" // "aldehyde dehydrogenase: molybdenum cofactor-binding subunit"	"paoA" // "paoB" // "paoC"	"CPLX0-7805"
"glyoxylate carboligase"	"gcl"	"GLYOCARBOLIG-CPLX"
"ATP synthase F<sub>1</sub> complex subunit &beta;"	"atpD"	"ATPD-CPLX"
"HipB antitoxin / DNA-binding transcriptional repressor"	"hipB"	"CPLX0-7757"
"glucose-1-phosphatase"	"agp"	"GLUCOSE-1-PHOSPHAT-CPLX"
"asparagine synthetase A"	"asnA"	"ASNSYNA-CPLX"
"23S rRNA m<sup>5</sup>C1962 methyltransferase"	"rlmI"	"CPLX0-7726"
"fumarase A"	"fumA"	"FUMARASE-A"
"L-asparaginase 1"	"ansA"	"ANSA-CPLX"
"NikR-Ni DNA-binding transcriptional repressor"	"nikR"	"CPLX0-7707"
"3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"	"fabZ"	"FABZ-CPLX"
"adenylosuccinate synthetase"	"purA"	"ADENYLOSUCCINATE-SYN-DIMER"
"sulfoquinovose isomerase"	"yihS"	"CPLX0-7683"
"dihydrolipoyltranssuccinylase"	"sucB"	"E2O"
