uniprot,desc,gene,cog_class_letter,cog_desc,cog_class
P31119,Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2,aas,IQ,Lipid transport and metabolism,Metabolism
P0ABD5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2,accA,I,Lipid transport and metabolism,Metabolism
P0ABD8,Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1,accB,I,Lipid transport and metabolism,Metabolism
P24182,Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2,accC,I,Lipid transport and metabolism,Metabolism
P0A9Q5,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1,accD,I,Lipid transport and metabolism,Metabolism
P0A9G6,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,C,Energy production and conversion,Metabolism
P08997,Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,aceB,C,Energy production and conversion,Metabolism
P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,C,Energy production and conversion,Metabolism
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,C,Energy production and conversion,Metabolism
P11071,Isocitrate dehydrogenase kinase/phosphatase OS=Escherichia coli (strain K12) GN=aceK PE=1 SV=2,aceK,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0A6A3,Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1,ackA,C,Energy production and conversion,Metabolism
P25516,Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,C,Energy production and conversion,Metabolism
P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,C,Energy production and conversion,Metabolism
P0A6A8,Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2,acpP,IQ,Lipid transport and metabolism,Metabolism
P24224,Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3,acpS,I,Lipid transport and metabolism,Metabolism
P0AE06,Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1,acrA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P31224,Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1,acrB,V,Defense mechanisms,Cellular Processes and Signaling
P24177,Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3,acrD,V,Defense mechanisms,Cellular Processes and Signaling
P0ACS9,HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1,acrR,K,Transcription,Information Storage and Processing
P27550,Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,acs,I,Lipid transport and metabolism,Metabolism
P32705,Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1,actP,R,General function prediction only,Poorly Characterized
P26646,Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1,acuI,CR,Energy production and conversion,Metabolism
P22333,Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2,add,F,Nucleotide transport and metabolism,Metabolism
P23477,ATP-dependent helicase/deoxyribonuclease subunit B OS=Bacillus subtilis GN=addB PE=1 SV=2,addB,Not Assigned,Not Assigned,Not Assigned
P31441,Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2,ade,F,Nucleotide transport and metabolism,Metabolism
P31466,Probable adenine permease PurP OS=Escherichia coli (strain K12) GN=purP PE=1 SV=2,adeP,R,General function prediction only,Poorly Characterized
P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,C,Energy production and conversion,Metabolism
P39451,"Alcohol dehydrogenase, propanol-preferring OS=Escherichia coli (strain K12) GN=adhP PE=1 SV=1",adhP,R,General function prediction only,Poorly Characterized
P69441,Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1,adk,F,Nucleotide transport and metabolism,Metabolism
P0ACK2,Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1,agaR,KG,Transcription,Information Storage and Processing
P42904,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 OS=Escherichia coli (strain K12) GN=agaV PE=4 SV=1,agaV,G,Carbohydrate transport and metabolism,Metabolism
P19926,Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1,agp,Not Assigned,Not Assigned,Not Assigned
P0AE08,Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,ahpC,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P35340,Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P27250,Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2,ahr,R,General function prediction only,Poorly Characterized
P33224,Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3,aidB,I,Lipid transport and metabolism,Metabolism
P0A959,Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1,alaA,E,Amino acid transport and metabolism,Metabolism
P77434,Uncharacterized aminotransferase YfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1,alaC,E,Amino acid transport and metabolism,Metabolism
P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,C,Energy production and conversion,Metabolism
P37685,Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,C,Energy production and conversion,Metabolism
P0ACN4,HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1,allR,K,Transcription,Information Storage and Processing
P0A6B4,"Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1",alr,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P39265,D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1,alsB,G,Carbohydrate transport and metabolism,Metabolism
P36548,N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1,amiA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P26365,N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2,amiB,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P63883,N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1,amiC,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P75820,N-acetylmuramoyl-L-alanine amidase AmiD OS=Escherichia coli (strain K12) GN=amiD PE=1 SV=1,amiD,V,Defense mechanisms,Cellular Processes and Signaling
P0AE12,AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1,amn,F,Nucleotide transport and metabolism,Metabolism
P00811,Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1,ampC,V,Defense mechanisms,Cellular Processes and Signaling
P0AE14,Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1,ampE,V,Defense mechanisms,Cellular Processes and Signaling
P69681,Ammonia channel OS=Escherichia coli (strain K12) GN=amtB PE=1 SV=1,amtB,P,Inorganic ion transport and metabolism,Metabolism
P26612,Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3,amyA,G,Carbohydrate transport and metabolism,Metabolism
P77570,Anhydro-N-acetylmuramic acid kinase OS=Escherichia coli (strain K12) GN=anmK PE=1 SV=1,anmK,O,"Posttranslational modification, protein turnover, chaperones",Cellular Processes and Signaling
P0A962,L-asparaginase 1 OS=Escherichia coli (strain K12) GN=ansA PE=1 SV=1,ansA,EJ,Amino acid transport and metabolism,Metabolism
P00805,L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2,ansB,EJ,Amino acid transport and metabolism,Metabolism
P62672,Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1,apaG,P,Inorganic ion transport and metabolism,Metabolism
P05637,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2,apaH,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0AE22,Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1,aphA,R,General function prediction only,Poorly Characterized
P07102,Periplasmic AppA protein OS=Escherichia coli (strain K12) GN=appA PE=1 SV=2,appA,Not Assigned,Not Assigned,Not Assigned
P26459,Cytochrome bd-II oxidase subunit 1 OS=Escherichia coli (strain K12) GN=appC PE=1 SV=1,appC,C,Energy production and conversion,Metabolism
P69503,Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1,apt,F,Nucleotide transport and metabolism,Metabolism
P02924,L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2,araF,G,Carbohydrate transport and metabolism,Metabolism
P0A9Q1,Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1,arcA,TK,Signal transduction mechanisms,Cellular Processes and Signaling
P0AEC3,Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1,arcB,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0A6C5,Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1,argA,E,Amino acid transport and metabolism,Metabolism
P0A6C8,Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1,argB,E,Amino acid transport and metabolism,Metabolism
P11446,N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1,argC,E,Amino acid transport and metabolism,Metabolism
P18335,Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4,argD,E,Amino acid transport and metabolism,Metabolism
P23908,Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2,argE,E,Amino acid transport and metabolism,Metabolism
P06960,Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,argF,E,Amino acid transport and metabolism,Metabolism
P0A6E4,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,argG,E,Amino acid transport and metabolism,Metabolism
P11447,Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3,argH,E,Amino acid transport and metabolism,Metabolism
P04391,Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3,argI,E,Amino acid transport and metabolism,Metabolism
P0A6D0,Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1,argR,K,Transcription,Information Storage and Processing
P11875,Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1,argS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P09551,Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3,argT,ET,Amino acid transport and metabolism,Metabolism
P77398,Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1,arnA,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P77690,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase OS=Escherichia coli (strain K12) GN=arnB PE=1 SV=2,arnB,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P0A6D3,3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1,aroA,E,Amino acid transport and metabolism,Metabolism
P07639,3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,aroB,E,Amino acid transport and metabolism,Metabolism
P12008,Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4,aroC,E,Amino acid transport and metabolism,Metabolism
P05194,3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2,aroD,E,Amino acid transport and metabolism,Metabolism
P15770,Shikimate dehydrogenase OS=Escherichia coli (strain K12) GN=aroE PE=1 SV=1,aroE,E,Amino acid transport and metabolism,Metabolism
P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",aroF,E,Amino acid transport and metabolism,Metabolism
P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1",aroG,E,Amino acid transport and metabolism,Metabolism
P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4",aroH,E,Amino acid transport and metabolism,Metabolism
P0A6D7,Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2,aroK,E,Amino acid transport and metabolism,Metabolism
P0A6E1,Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3,aroL,E,Amino acid transport and metabolism,Metabolism
P0AE28,Protein AroM OS=Escherichia coli (strain K12) GN=aroM PE=4 SV=1,aroM,Not Assigned,Not Assigned,Not Assigned
P15993,Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3,aroP,E,Amino acid transport and metabolism,Metabolism
P0AB96,Arsenate reductase OS=Escherichia coli (strain K12) GN=arsC PE=3 SV=1,arsC,P,Inorganic ion transport and metabolism,Metabolism
P30859,Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3,artI,ET,Amino acid transport and metabolism,Metabolism
P30860,ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2,artJ,ET,Amino acid transport and metabolism,Metabolism
P0AAF6,Arginine transport ATP-binding protein ArtP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1,artP,E,Amino acid transport and metabolism,Metabolism
P0A9Q9,Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1,asd,E,Amino acid transport and metabolism,Metabolism
P28249,Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2,asmA,M,Cell wall/membrane/envelope biogenesis,Cellular Processes and Signaling
P00963,Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,asnA,E,Amino acid transport and metabolism,Metabolism
P22106,Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3,asnB,E,Amino acid transport and metabolism,Metabolism
P0A8M0,Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2,asnS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P0AC38,Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1,aspA,E,Amino acid transport and metabolism,Metabolism
P00509,Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,aspC,E,Amino acid transport and metabolism,Metabolism
P21889,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,J,"Translation, ribosomal structure and biogenesis",Information Storage and Processing
P36560,Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3,asr,Not Assigned,Not Assigned,Not Assigned
P77581,Succinylornithine transaminase OS=Escherichia coli (strain K12) GN=astC PE=1 SV=1,astC,E,Amino acid transport and metabolism,Metabolism
P76217,N-succinylglutamate 5-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=astD PE=1 SV=1,astD,C,Energy production and conversion,Metabolism
Q06065,Acetoacetate metabolism regulatory protein AtoC OS=Escherichia coli (strain K12) GN=atoC PE=3 SV=2,atoC,T,Signal transduction mechanisms,Cellular Processes and Signaling
P0ABB0,ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,atpA,C,Energy production and conversion,Metabolism
