Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	searches
P0A8T7	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY, ECO:0000269|PubMed:24843001};  Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY, ECO:0000269|PubMed:24843001}; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY, ECO:0000269|PubMed:24843001};  Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000269|PubMed:24843001};	RPOC_ECOLI	GO:0000287; GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0008270; GO:0016020; GO:0046677	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; response to antibiotic [GO:0046677]; transcription, DNA-templated [GO:0006351]	response to antibiotic [GO:0046677]; transcription, DNA-templated [GO:0006351]	155,160	METAL 70;  /note="Zinc 1";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 72;  /note="Zinc 1";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 85;  /note="Zinc 1";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 88;  /note="Zinc 1";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 460;  /note="Magnesium";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 462;  /note="Magnesium";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 464;  /note="Magnesium";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 814;  /note="Zinc 2";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 888;  /note="Zinc 2";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 895;  /note="Zinc 2";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"; METAL 898;  /note="Zinc 2";  /evidence="ECO:0000244|PDB:4MEX, ECO:0000244|PDB:4MEY"	KW-0002; KW-0007; KW-0046; KW-0240; KW-0460; KW-0479; KW-0548; KW-0804; KW-0808; KW-0862; KW-0903; KW-1185	P0A8T7
P0A8V2	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB groN nitB rif ron stl stv tabD b3987 JW3950		RPOB_ECOLI	GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0016020; GO:0032549; GO:0046677	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; response to antibiotic [GO:0046677]; transcription, DNA-templated [GO:0006351]	response to antibiotic [GO:0046677]; transcription, DNA-templated [GO:0006351]	150,632		KW-0002; KW-0007; KW-0046; KW-0240; KW-0548; KW-0804; KW-0808; KW-0903; KW-1185	P0A8V2
P36683	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:11992126};  Note=Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000269|PubMed:11992126};	ACNB_ECOLI	GO:0003729; GO:0003730; GO:0003994; GO:0005829; GO:0006097; GO:0006099; GO:0006417; GO:0019629; GO:0046872; GO:0047456; GO:0047780; GO:0051539	cytosol [GO:0005829]; 2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	93,498	METAL 710;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"; METAL 769;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"; METAL 772;  /note="Iron-sulfur (4Fe-4S)";  /evidence="ECO:0000269|PubMed:11992126"	KW-0002; KW-0004; KW-0408; KW-0411; KW-0456; KW-0479; KW-0694; KW-0816; KW-0903; KW-1185	P36683
P15254	reviewed	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	purL purI b2557 JW2541		PUR4_ECOLI	GO:0004642; GO:0005524; GO:0005737; GO:0005829; GO:0006189; GO:0006541; GO:0042623; GO:0046872	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATPase activity, coupled [GO:0042623]; metal ion binding [GO:0046872]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]	'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]	141,403	METAL 718;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00419"; METAL 722;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00419"; METAL 884;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00419"	KW-0067; KW-0315; KW-0436; KW-0460; KW-0479; KW-0547; KW-0658; KW-0903; KW-0963; KW-1185	P15254
P09831	reviewed	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB aspB b3212 JW3179	COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000250};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000250}; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:4565085}; ; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000269|PubMed:4565085}; 	GLTB_ECOLI	GO:0004355; GO:0005829; GO:0006537; GO:0019676; GO:0046872; GO:0051538; GO:0097054	cytosol [GO:0005829]; 3 iron, 4 sulfur cluster binding [GO:0051538]; glutamate synthase (NADPH) activity [GO:0004355]; metal ion binding [GO:0046872]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; L-glutamate biosynthetic process [GO:0097054]	ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; L-glutamate biosynthetic process [GO:0097054]	163,297	METAL 1102;  /note="Iron-sulfur (3Fe-4S)";  /evidence="ECO:0000250"; METAL 1108;  /note="Iron-sulfur (3Fe-4S)";  /evidence="ECO:0000250"; METAL 1113;  /note="Iron-sulfur (3Fe-4S)";  /evidence="ECO:0000250"	KW-0003; KW-0028; KW-0274; KW-0285; KW-0288; KW-0314; KW-0315; KW-0408; KW-0411; KW-0479; KW-0521; KW-0560; KW-0865; KW-0903; KW-1185	P09831
P0AFG8	reviewed	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE b0114 JW0110	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; ; COFACTOR: Name=thiamine diphosphate; Xref=ChEBI:CHEBI:58937; 	ODP1_ECOLI	GO:0000287; GO:0004738; GO:0004739; GO:0005829; GO:0006096; GO:0016020; GO:0030976; GO:0042802; GO:0042803; GO:0045250	cytosol [GO:0005829]; cytosolic pyruvate dehydrogenase complex [GO:0045250]; membrane [GO:0016020]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase activity [GO:0004738]; thiamine pyrophosphate binding [GO:0030976]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]	99,668	METAL 231;  /note="Magnesium"; METAL 261;  /note="Magnesium"; METAL 263;  /note="Magnesium; via carbonyl oxygen"	KW-0002; KW-0007; KW-0324; KW-0460; KW-0479; KW-0560; KW-0670; KW-0786; KW-0903; KW-1185	P0AFG8
P0A9Q7	reviewed	Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]	adhE ana b1241 JW1228	COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; 	ADHE_ECOLI	GO:0004022; GO:0005829; GO:0006115; GO:0008774; GO:0015976; GO:0016020; GO:0042802; GO:0046872	cytosol [GO:0005829]; membrane [GO:0016020]; acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; carbon utilization [GO:0015976]; ethanol biosynthetic process [GO:0006115]	carbon utilization [GO:0015976]; ethanol biosynthetic process [GO:0006115]	96,127		KW-0002; KW-0007; KW-0408; KW-0511; KW-0520; KW-0560; KW-0903; KW-1185	P0A9Q7
P0CE47	reviewed	Elongation factor Tu 1 (EF-Tu 1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)	tufA b3339 JW3301		EFTU1_ECOLI	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0005886; GO:0006414; GO:0046677	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; response to antibiotic [GO:0046677]; translational elongation [GO:0006414]	response to antibiotic [GO:0046677]; translational elongation [GO:0006414]	43,284		KW-0002; KW-0007; KW-0046; KW-0251; KW-0342; KW-0472; KW-0488; KW-0547; KW-0597; KW-0648; KW-0694; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185	P0CE47
P25665	reviewed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE b3829 JW3805	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105;  Note=Binds 1 zinc ion per subunit.;	METE_ECOLI	GO:0003871; GO:0005829; GO:0008270; GO:0008276; GO:0008705; GO:0009086; GO:0035999; GO:0050667	cytosol [GO:0005829]; 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; methionine synthase activity [GO:0008705]; protein methyltransferase activity [GO:0008276]; zinc ion binding [GO:0008270]; homocysteine metabolic process [GO:0050667]; methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]	homocysteine metabolic process [GO:0050667]; methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]	84,674	METAL 641;  /note="Zinc"; METAL 643;  /note="Zinc"; METAL 726;  /note="Zinc"	KW-0028; KW-0479; KW-0486; KW-0489; KW-0677; KW-0808; KW-0862; KW-0903; KW-1185	P25665
P0A6F5	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL mopA b4143 JW4103		CH60_ECOLI	GO:0000287; GO:0005524; GO:0005829; GO:0006457; GO:0006458; GO:0007049; GO:0009314; GO:0009408; GO:0016020; GO:0016887; GO:0019068; GO:0042026; GO:0042802; GO:0051082; GO:0051085; GO:0051301; GO:1990220	cytosol [GO:0005829]; GroEL-GroES complex [GO:1990220]; membrane [GO:0016020]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; unfolded protein binding [GO:0051082]; 'de novo' protein folding [GO:0006458]; cell cycle [GO:0007049]; cell division [GO:0051301]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; protein refolding [GO:0042026]; response to heat [GO:0009408]; response to radiation [GO:0009314]; virion assembly [GO:0019068]	'de novo' protein folding [GO:0006458]; cell cycle [GO:0007049]; cell division [GO:0051301]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; protein refolding [GO:0042026]; response to heat [GO:0009408]; response to radiation [GO:0009314]; virion assembly [GO:0019068]	57,329		KW-0002; KW-0007; KW-0067; KW-0131; KW-0132; KW-0143; KW-0547; KW-0597; KW-0903; KW-0963; KW-1185	P0A6F5
