cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Lac repressor ,lacI,B8LFD5
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,D0EX67
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,GsiB ,gsiB,D9IX93
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,CRISPR-associated protein Cas1 ,,E1MTY0
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,P00350
FAD,"Binds 1 FAD covalently per subunit. Flavinylated by SdhE, about 5% flavinylation occurs in the absence of SdhE (PubMed:24374335, PubMed:26644464)",Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,P00363
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,NADP-specific glutamate dehydrogenase ,gdhA,P00370
FAD,Binds 1 FAD per subunit,Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,P00393
Mn(2+),Binds 1 Mn(2+) ion per subuni,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Superoxide dismutase [Mn] ,sodA,P00448
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit alpha ,nrdA,P00452
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Homoserine kinase ,thrB,P00547
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,P00550
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,P00561
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,P00562
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoD ,rpoD,P00579
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,P00582
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Signal peptidase I ,lepB,P00803
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-asparaginase 2 ,ansB,P00805
None,No known associated cofactor,Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Beta-lactamase ,ampC,P00811
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",aroH,P00887
FAD,Binds 1 FAD per subunit,Not Assigned,Not Assigned,Not Assigned,Acetolactate synthase isozyme 2 large subunit ,ilvG,P00892
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,P00893
thiamine diphosphate,Binds 1 thiamine pyrophosphate per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 large subunit ,ilvI,P00893
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Acetolactate synthase isozyme 3 small subunit ,ilvH,P00894
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component 1 ,trpE,P00895
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Anthranilate synthase component II ,trpG,P00904
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Tryptophan biosynthesis protein trpCF ,trpC,P00909
pyridoxal 5'-phosphate,Binds 1 pyridoxal phosphate per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cystathionine gamma-synthase ,metB,P00935
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Adenylate cyclase ,cyaA,P00936
Mg(2+),Binds 2 magnesium ions per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose isomerase ,xylA,P00944
Zn(2+),Binds 1 zinc ion per subunit,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Mannose-6-phosphate isomerase ,manA,P00946
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tryptophanyl-tRNA synthetase ,trpS,P00954
Zn(2+),Binds 1 zinc ion per subuni,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Isoleucyl-tRNA synthetase ,ileS,P00956
Zn(2+),Binds 1 zinc ion per subun,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Alanyl-tRNA synthetase ,alaS,P00957
Zn(2+),Binds 1 zinc ion per subuni,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Methionyl-tRNA synthetase ,metG,P00959
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase alpha subunit ,glyQ,P00960
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glycyl-tRNA synthetase beta subunit ,glyS,P00961
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Glutaminyl-tRNA synthetase ,glnS,P00962
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aspartate--ammonia ligase ,asnA,P00963
Mn(2+),Binds 4 Mn(2+) ions per subunit,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Carbamoyl-phosphate synthase large chain ,carB,P00968
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S6 ,rpsF,P02358
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",30S ribosomal protein S7 ,rpsG,P02359
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L15 ,rplO,P02413
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltose transport system permease protein malF ,malF,P02916
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1A ,mrcA,P02918
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-binding protein 1B ,mrcB,P02919
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,L-arabinose-binding periplasmic protein ,araF,P02924
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,D-ribose-binding periplasmic protein ,rbsB,P02925
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein tonB ,tonB,P02929
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein tolC ,tolC,P02930
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein F ,ompF,P02931
None,No known associated cofactor,Cellular Processes and Signaling,Cell motility,Cell motility,Methyl-accepting chemotaxis protein I ,tsr,P02942
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltoporin ,lamB,P02943
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Chromosomal replication initiator protein dnaA ,dnaA,P03004
Mg(2+),Binds 2 divalent metal cations. Magnesium or manganes,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit epsilon ,dnaQ,P03007
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA helicase II ,uvrD,P03018
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein YgeA ,ygeA,P03813
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Glutathione-regulated potassium-efflux system protein kefC ,kefC,P03819
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Maltose operon periplasmic protein ,malM,P03841
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dihydrodipicolinate reductase ,dapB,P04036
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,GMP synthase [glutamine-hydrolyzing] ,guaA,P04079
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase frsA ,frsA,P04335
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Ornithine carbamoyltransferase chain I ,argI,P04391
