cog_class,cog_desc,cog_letter,desc,gene,go_number,pathway,uniprot
,,-,UPF0509 protein yciZ,yciZ,,no associated pathway,A5A614
,,-,Uncharacterized protein ypfM,ypfM,,no associated pathway,A5A621
,,-,Lac repressor,,6355.0,"regulation of transcription, DNA-templated",B8LFD5
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,5975.0,carbohydrate metabolic process,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,7049.0,cell cycle,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,51301.0,cell division,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,71555.0,cell wall organization,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,9252.0,peptidoglycan biosynthetic process,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,9254.0,peptidoglycan turnover,D0EX67
Carbohydrate transport and metabolism,METABOLISM,G,Beta-hexosaminidase 2,nagZ,8360.0,regulation of cell shape,D0EX67
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Uncharacterized protein ygbT,ygbT,51607.0,defense response to virus,D4HZR9
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,Uncharacterized protein ygbT,ygbT,43571.0,maintenance of CRISPR repeat elements,D4HZR9
,,-,CRISPR-associated endonuclease Cas1,cas1,51607.0,defense response to virus,D8FH86
,,-,CRISPR-associated endonuclease Cas1,cas1,43571.0,maintenance of CRISPR repeat elements,D8FH86
Amino acid transport and metabolism,METABOLISM,E,GsiB,gsiB,55085.0,transmembrane transport,D9IX93
,,-,CRISPR-associated protein Cas1,MettuDRAFT_4149,,no associated pathway,E1MTY0
Carbohydrate transport and metabolism,METABOLISM,G,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,46177.0,D-gluconate catabolic process,P00350
Carbohydrate transport and metabolism,METABOLISM,G,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,6098.0,pentose-phosphate shunt,P00350
Carbohydrate transport and metabolism,METABOLISM,G,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,9051.0,"pentose-phosphate shunt, oxidative branch",P00350
Energy production and conversion,METABOLISM,C,Fumarate reductase flavoprotein subunit,frdA,9061.0,anaerobic respiration,P00363
Energy production and conversion,METABOLISM,C,Fumarate reductase flavoprotein subunit,frdA,44780.0,bacterial-type flagellum assembly,P00363
Energy production and conversion,METABOLISM,C,Fumarate reductase flavoprotein subunit,frdA,71973.0,bacterial-type flagellum-dependent cell motility,P00363
Energy production and conversion,METABOLISM,C,Fumarate reductase flavoprotein subunit,frdA,6974.0,cellular response to DNA damage stimulus,P00363
Energy production and conversion,METABOLISM,C,Fumarate reductase flavoprotein subunit,frdA,6113.0,fermentation,P00363
Amino acid transport and metabolism,METABOLISM,E,NADP-specific glutamate dehydrogenase,gdhA,6537.0,glutamate biosynthetic process,P00370
Energy production and conversion,METABOLISM,C,NADH dehydrogenase,ndh,19646.0,aerobic electron transport chain,P00393
Energy production and conversion,METABOLISM,C,NADH dehydrogenase,ndh,9060.0,aerobic respiration,P00393
Energy production and conversion,METABOLISM,C,NADH dehydrogenase,ndh,9061.0,anaerobic respiration,P00393
Energy production and conversion,METABOLISM,C,NADH dehydrogenase,ndh,55070.0,copper ion homeostasis,P00393
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,71291.0,cellular response to selenium ion,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,55114.0,oxidation-reduction process,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,19430.0,removal of superoxide radicals,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,10447.0,response to acidic pH,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,9408.0,response to heat,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,6979.0,response to oxidative stress,P00448
Inorganic ion transport and metabolism,METABOLISM,P,Superoxide dismutase [Mn],sodA,6801.0,superoxide metabolic process,P00448
Carbohydrate transport and metabolism,METABOLISM,G,Maltodextrin phosphorylase,malP,30980.0,alpha-glucan catabolic process,P00490
Carbohydrate transport and metabolism,METABOLISM,G,Maltodextrin phosphorylase,malP,5980.0,glycogen catabolic process,P00490
Amino acid transport and metabolism,METABOLISM,E,Aspartate aminotransferase,aspC,9094.0,L-phenylalanine biosynthetic process,P00509
Amino acid transport and metabolism,METABOLISM,E,Aspartate aminotransferase,aspC,33585.0,L-phenylalanine biosynthetic process from chorismate via phenylpyruvate,P00509
Amino acid transport and metabolism,METABOLISM,E,Homoserine kinase,thrB,9088.0,threonine biosynthetic process,P00547
Carbohydrate transport and metabolism,METABOLISM,G,PTS system mannitol-specific EIICBA component,mtlA,15797.0,mannitol transport,P00550
Carbohydrate transport and metabolism,METABOLISM,G,PTS system mannitol-specific EIICBA component,mtlA,9401.0,phosphoenolpyruvate-dependent sugar phosphotransferase system,P00550
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 1,thrA,9090.0,homoserine biosynthetic process,P00561
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 1,thrA,9089.0,lysine biosynthetic process via diaminopimelate,P00561
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 1,thrA,9088.0,threonine biosynthetic process,P00561
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 2,metL,9090.0,homoserine biosynthetic process,P00562
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 2,metL,9089.0,lysine biosynthetic process via diaminopimelate,P00562
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 2,metL,9086.0,methionine biosynthetic process,P00562
Amino acid transport and metabolism,METABOLISM,E,Bifunctional aspartokinase/homoserine dehydrogenase 2,metL,9088.0,threonine biosynthetic process,P00562
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma factor rpoD,rpoD,9408.0,response to heat,P00579
Transcription,INFORMATION STORAGE AND PROCESSING,K,RNA polymerase sigma factor rpoD,rpoD,1123.0,transcription initiation from bacterial-type RNA polymerase promoter,P00579
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA polymerase I,polA,6284.0,base-excision repair,P00582
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA polymerase I,polA,6261.0,DNA-dependent DNA replication,P00582
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA polymerase I,polA,6281.0,DNA repair,P00582
"Replication, recombination and repair",INFORMATION STORAGE AND PROCESSING,L,DNA polymerase I,polA,6260.0,DNA replication,P00582
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Signal peptidase I,lepB,16485.0,protein processing,P00803
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Signal peptidase I,lepB,6508.0,proteolysis,P00803
"Intracellular trafficking, secretion, and vesicular transport",CELLULAR PROCESSES AND SIGNALING,U,Signal peptidase I,lepB,6465.0,signal peptide processing,P00803
Amino acid transport and metabolism,METABOLISM,EJ,L-asparaginase 2,ansB,6530.0,asparagine catabolic process,P00805
Amino acid transport and metabolism,METABOLISM,EJ,L-asparaginase 2,ansB,51289.0,protein homotetramerization,P00805
Defense mechanisms,CELLULAR PROCESSES AND SIGNALING,V,Beta-lactamase,ampC,17001.0,antibiotic catabolic process,P00811
Defense mechanisms,CELLULAR PROCESSES AND SIGNALING,V,Beta-lactamase,ampC,46677.0,response to antibiotic,P00811
Amino acid transport and metabolism,METABOLISM,E,Diaminopimelate decarboxylase,lysA,9089.0,lysine biosynthetic process via diaminopimelate,P00861
Energy production and conversion,METABOLISM,C,Phosphoenolpyruvate carboxylase,ppc,15977.0,carbon fixation,P00864
Energy production and conversion,METABOLISM,C,Phosphoenolpyruvate carboxylase,ppc,6107.0,oxaloacetate metabolic process,P00864
Energy production and conversion,METABOLISM,C,Phosphoenolpyruvate carboxylase,ppc,6099.0,tricarboxylic acid cycle,P00864
Amino acid transport and metabolism,METABOLISM,E,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,9073.0,aromatic amino acid family biosynthetic process,P00887
Amino acid transport and metabolism,METABOLISM,E,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,9423.0,chorismate biosynthetic process,P00887
Amino acid transport and metabolism,METABOLISM,E,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,9073.0,aromatic amino acid family biosynthetic process,P00888
Amino acid transport and metabolism,METABOLISM,E,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,9423.0,chorismate biosynthetic process,P00888
,,-,Acetolactate synthase isozyme 2 large subunit,ilvG,9097.0,isoleucine biosynthetic process,P00892
,,-,Acetolactate synthase isozyme 2 large subunit,ilvG,9099.0,valine biosynthetic process,P00892
Amino acid transport and metabolism,METABOLISM,EH,Acetolactate synthase isozyme 3 large subunit,ilvI,9097.0,isoleucine biosynthetic process,P00893
Amino acid transport and metabolism,METABOLISM,EH,Acetolactate synthase isozyme 3 large subunit,ilvI,9099.0,valine biosynthetic process,P00893
Amino acid transport and metabolism,METABOLISM,E,Acetolactate synthase isozyme 3 small subunit,ilvH,9097.0,isoleucine biosynthetic process,P00894
Amino acid transport and metabolism,METABOLISM,E,Acetolactate synthase isozyme 3 small subunit,ilvH,9099.0,valine biosynthetic process,P00894
Amino acid transport and metabolism,METABOLISM,EH,Anthranilate synthase component 1,trpE,162.0,tryptophan biosynthetic process,P00895
