,gene_name,b_number,condition,reported_tot_per_cell,reported_fg_per_cell,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,go_terms,corrected_volume,dataset,dataset_name,strain
0,yaaa,b0006,M9_minimal_glucose_30C,14.738,0.00072382385688,metabolism,inorganic ion transport and metabolism,P,peroxide stress resistance protein YaaA,0.2772588722239781,GO:0005829; GO:0033194,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,mog,b0009,M9_minimal_glucose_30C,21.221,0.00074758442292,metabolism,coenzyme transport and metabolism,H,molybdopterin adenylyltransferase,0.2772588722239781,GO:0005515; GO:0042802; GO:0005829; GO:0061598; GO:0006777; GO:0032324; GO:0016740; GO:0005524; GO:0000166,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,dnak,b0014,M9_minimal_glucose_30C,2435.911,0.2794742613499,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,chaperone protein DnaK,0.2772588722239781,GO:1903507; GO:0051787; GO:0042623; GO:0042026; GO:0034605; GO:0032991; GO:0031072; GO:0006986; GO:0051087; GO:0016887; GO:0016989; GO:0065003; GO:0032984; GO:0043531; GO:0044183; GO:0051085; GO:0034620; GO:0051082; GO:0006457; GO:0005829; GO:0043335; GO:0009408; GO:0008270; GO:0005886; GO:0016020; GO:0006260; GO:0005524; GO:0005515; GO:0000166; GO:0005737,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,dnaj,b0015,M9_minimal_glucose_30C,68.94800000000001,0.004704046248000001,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,chaperone protein DnaJ,0.2772588722239781,GO:1903507; GO:0065003; GO:0032991; GO:0051087; GO:0051085; GO:0055114; GO:0015035; GO:0016989; GO:0016032; GO:0042803; GO:0006457; GO:0046872; GO:0031072; GO:0016020; GO:0005524; GO:0005829; GO:0043335; GO:0042026; GO:0005515; GO:0003756; GO:0051082; GO:0009408; GO:0008270; GO:0006260; GO:0005737,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,ribf,b0025,M9_minimal_glucose_30C,13.22,0.0007622445768,metabolism,coenzyme transport and metabolism,H,bifunctional riboflavin kinase / FMN adenylyltransferase,0.2772588722239781,GO:0005515; GO:0005829; GO:0016779; GO:0016740; GO:0016301; GO:0003824; GO:0016310; GO:0008152; GO:0009231; GO:0005524; GO:0000166; GO:0008531; GO:0003919; GO:0009398; GO:0006747,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,iles,b0026,M9_minimal_glucose_30C,64.061,0.011091074394220002,information storage and processing,"translation, ribosomal structure and biogenesis",J,isoleucine&mdash;tRNA ligase,0.2772588722239781,GO:0106074; GO:0005515; GO:0000049; GO:0005829; GO:0008270; GO:0006428; GO:0006418; GO:0002161; GO:0046872; GO:0046677; GO:0016874; GO:0006412; GO:0005524; GO:0004812; GO:0000166; GO:0004822; GO:0005737,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,isph,b0029,M9_minimal_glucose_30C,30.665,0.0017701831224999998,metabolism,lipid transport and metabolism,I,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,0.2772588722239781,GO:0016114; GO:0051539; GO:0005829; GO:0016491; GO:0050992; GO:0019288; GO:0055114; GO:0051745; GO:0051538; GO:0051536; GO:0046872; GO:0008299; GO:0042380,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,dapb,b0031,M9_minimal_glucose_30C,50.36600000000001,0.0024043026029200005,metabolism,amino acid transport and metabolism,E,4-hydroxy-tetrahydrodipicolinate reductase,0.2772588722239781,GO:0051287; GO:0050661; GO:0016726; GO:0009089; GO:0009085; GO:0008652; GO:0005737; GO:0042802; GO:0055114; GO:0005829; GO:0019877; GO:0016491; GO:0008839,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,cara,b0032,M9_minimal_glucose_30C,477.221,0.03282109379666,metabolism,amino acid transport and metabolism,E,carbamoyl phosphate synthetase subunit &alpha;,0.2772588722239781,GO:0006807; GO:0008652; GO:0044205; GO:0005951; GO:0006207; GO:0005737; GO:0000166; GO:0005829; GO:0016874; GO:0006541; GO:0005524; GO:0005515; GO:0004088; GO:0006526; GO:0006221,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,fixb,b0042,M9_minimal_glucose_30C,0.326,1.8135895080000002e-05,metabolism,energy production and conversion,C,putative electron transfer flavoprotein FixB,0.2772588722239781,GO:0022900; GO:0042413; GO:0016491; GO:0033539; GO:0005515; GO:0055114; GO:0050660; GO:0009055; GO:0009437,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,fixc,b0043,M9_minimal_glucose_30C,3.352,0.00025430611696,metabolism,energy production and conversion,C,putative oxidoreductase FixC,0.2772588722239781,GO:0071949; GO:0005829; GO:0009437; GO:0055114; GO:0016491,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,kefc,b0047,M9_minimal_glucose_30C,3.1069999999999998,0.00034966600552,metabolism,inorganic ion transport and metabolism,P,K+ : H+ antiporter KefC,0.2772588722239781,GO:0055085; GO:1902600; GO:0098655; GO:0071805; GO:0016021; GO:0015079; GO:0008324; GO:0006812; GO:0006811; GO:0005886; GO:0015299; GO:0000166; GO:0006885; GO:0016020; GO:0005887; GO:0042803; GO:0019899; GO:0015643; GO:0005515; GO:0051595; GO:0009636; GO:0015503; GO:0015297; GO:0006813,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,fola,b0048,M9_minimal_glucose_30C,37.931999999999995,0.00113334519288,metabolism,coenzyme transport and metabolism,H,dihydrofolate reductase,0.2772588722239781,GO:0046655; GO:0046452; GO:0070402; GO:0070401; GO:0051871; GO:0051870; GO:0005542; GO:0005829; GO:0005515; GO:0046654; GO:0016491; GO:0050661; GO:0006545; GO:0042493; GO:0055114; GO:0046677; GO:0031427; GO:0006730; GO:0046656; GO:0009257; GO:0004146,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,apag,b0050,M9_minimal_glucose_30C,0.82,1.8875760400000003e-05,metabolism,inorganic ion transport and metabolism,P,DUF525 domain-containing protein ApaG,0.2772588722239781,GO:0030288,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,sura,b0053,M9_minimal_glucose_30C,6.869,0.00053915770136,cellular processes and signaling,"posttranslational modification, protein turnover, chaperones",O,peptidyl-prolyl cis-trans isomerase SurA,0.2772588722239781,GO:0061077; GO:0000413; GO:0042597; GO:0016853; GO:0060274; GO:0030288; GO:0042710; GO:0043165; GO:0050821; GO:0005515; GO:0042277; GO:0051082; GO:0003755; GO:0006457,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,rlua,b0058,M9_minimal_glucose_30C,5.437,0.00022438096661999996,information storage and processing,"translation, ribosomal structure and biogenesis",J,23S rRNA pseudouridine746 and tRNA pseudouridine32 synthase,0.2772588722239781,GO:0120159; GO:0106029; GO:0005829; GO:0031118; GO:0016853; GO:0009451; GO:0008033; GO:0006364; GO:0001522; GO:0003723; GO:0031119; GO:0000455; GO:0009982,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,rapa,b0059,M9_minimal_glucose_30C,25.95,0.004728519212999999,information storage and processing,transcription,K,RNA polymerase-binding ATPase and RNAP recycling factor,0.2772588722239781,GO:0008094; GO:0005634; GO:0005737; GO:0001000; GO:0005515; GO:0016817; GO:0016787; GO:0006355; GO:0045893; GO:0016887; GO:0005524; GO:0004386; GO:0003677; GO:0003676; GO:0000166,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
0,arab,b0063,M9_minimal_glucose_30C,1.594,0.00016164393756,metabolism,carbohydrate transport and metabolism,G,ribulokinase,0.2772588722239781,GO:0046835; GO:0016773; GO:0016740; GO:0016301; GO:0016052; GO:0005975; GO:0016310; GO:0019572; GO:0005524; GO:0000166; GO:0019568; GO:0019569; GO:0008741; GO:0005737,0.4048610424728093,taniguichi_2010,Taniguichi et al. 2010,DY330
