annotation,cog_category,cog_class,cog_id,cog_letter,gene_name,uniprot,go_ids,refseq_id,uniprot_kw_ids,mass_da
Acetylglutamate semialdehyde dehydrogenase,Metabolism,Amino acid transport and metabolism,COG0002,E,argC,P11446,GO:0016620; GO:0016491; GO:0008652; GO:0051287; GO:0046983; GO:0055114; GO:0005737; GO:0003942; GO:0006526,YP_003047016.1,KW-0028; KW-0055; KW-0521; KW-0560; KW-0963; KW-1185,35952.0
Ammonia permease,Metabolism,Inorganic ion transport and metabolism,COG0004,P,amtB,P69681,GO:0042802; GO:0005515; GO:0016021; GO:0016020; GO:0005886; GO:0072488; GO:0008519; GO:0005887; GO:0015670; GO:0015696; GO:0015292; GO:0019740,YP_003043629.1,KW-0002; KW-0472; KW-0732; KW-0812; KW-0813; KW-0903; KW-0924; KW-0997; KW-1003; KW-1133; KW-1185,44515.0
Purine nucleoside phosphorylase,Metabolism,Nucleotide transport and metabolism,COG0005,F,xapA,P45563,GO:0005737; GO:0015949; GO:0055086; GO:0004731; GO:1903228; GO:0034355; GO:0042802; GO:0016763; GO:0016757; GO:0016740; GO:0009116; GO:0006139; GO:0003824; GO:0047975; GO:0047724; GO:0046115; GO:0034214; GO:0006161; GO:0006152; GO:0006149; GO:0006148,,KW-0002; KW-0328; KW-0808; KW-1185,29835.0
Xaa-Pro aminopeptidase,Metabolism,Amino acid transport and metabolism,COG0006,E,pepP,P15034,GO:0051289; GO:0042802; GO:0016787; GO:0008233; GO:0005737; GO:0030145; GO:0008235; GO:0005829; GO:0046872; GO:0008237; GO:0005515; GO:0004177; GO:0006508,YP_003045928.1,KW-0002; KW-0031; KW-0378; KW-0464; KW-0479; KW-0482; KW-0645; KW-0903; KW-0963; KW-1185,49815.0
Xaa-Pro aminopeptidase,Metabolism,Amino acid transport and metabolism,COG0006,E,pepQ,P21165,GO:0043171; GO:0008235; GO:0005515; GO:0102009; GO:0070573; GO:0030145; GO:0005829; GO:0016795; GO:0046872; GO:0016805; GO:0016787; GO:0008237; GO:0008233; GO:0006508,YP_003046912.1,KW-0002; KW-0224; KW-0378; KW-0464; KW-0479; KW-0482; KW-0645; KW-0903; KW-1185,50176.0
Xaa-Pro aminopeptidase,Metabolism,Amino acid transport and metabolism,COG0006,E,ypdF,P76524,GO:0004177; GO:0046914; GO:0070006; GO:0005515; GO:0016787; GO:0008233; GO:0006508,YP_003045486.1,KW-0002; KW-0031; KW-0378; KW-0645; KW-1185,39624.0
Uroporphyrinogen-III methylase,Metabolism,Coenzyme transport and metabolism,COG0007,H,cysG,P0AEA8,GO:0004325; GO:0006970; GO:0051287; GO:0019354; GO:0032259; GO:0055114; GO:0016829; GO:0016740; GO:0016491; GO:0009236; GO:0008168; GO:0008152; GO:0003824; GO:0043115; GO:0004851; GO:0051266; GO:0006779,YP_003046404.1,KW-0169; KW-0456; KW-0489; KW-0511; KW-0520; KW-0560; KW-0597; KW-0627; KW-0808; KW-0903; KW-0949; KW-1185,49951.0
Glutamyl- and glutaminyl-tRNA synthetases,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0008,J,glnS,P00962,GO:0006424; GO:0043039; GO:0016874; GO:0006418; GO:0004812; GO:0005829; GO:0006412; GO:0005524; GO:0000166; GO:0006425; GO:0004819; GO:0005737,YP_003043856.1,KW-0002; KW-0030; KW-0067; KW-0436; KW-0547; KW-0648; KW-0903; KW-0963; KW-1185,63478.0
Glutamyl- and glutaminyl-tRNA synthetases,Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0008,J,gltX,P04805,GO:0005515; GO:0043039; GO:0016874; GO:0006418; GO:0004812; GO:0000049; GO:0046872; GO:0005829; GO:0008270; GO:0006424; GO:0006412; GO:0005524; GO:0000166; GO:0004818; GO:0006779; GO:0005737,YP_003045497.1,KW-0030; KW-0067; KW-0436; KW-0479; KW-0547; KW-0597; KW-0648; KW-0862; KW-0903; KW-0963; KW-1185,53816.0
Putative translation factor (SUA5),Information Storage and Processing,"Translation, ribosomal structure and biogenesis",COG0009,J,yciO,P0AFR4,GO:0005829; GO:0003725,YP_003044454.1,KW-0002; KW-1185,23212.0
