cog_class,cog_class_letter,cog_desc,desc,gene,process,uniprot
Not Assigned,Not Assigned,Not Assigned,Lac repressor ,,Transcription,B8LFD5
Not Assigned,Not Assigned,Not Assigned,Lac repressor ,,Transcription regulation,B8LFD5
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,Cell cycle,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,Cell division,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,Cell shape,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,Peptidoglycan synthesis,D0EX67
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Beta-hexosaminidase 2 ,nagZ,Cell wall biogenesis/degradation,D0EX67
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uncharacterized protein ygbT ,ygbT,Antiviral defense,D4HZR9
Not Assigned,Not Assigned,Not Assigned,CRISPR-associated endonuclease Cas1 ,cas1,Antiviral defense,D8FH86
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,Gluconate utilization,P00350
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating ",gnd,Pentose shunt,P00350
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,Electron transport,P00363
Metabolism,Energy production and conversion,Energy production and conversion,Fumarate reductase flavoprotein subunit ,frdA,Transport,P00363
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,Electron transport,P00393
Metabolism,Energy production and conversion,Energy production and conversion,NADH dehydrogenase ,ndh,Transport,P00393
Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Ribonucleoside-diphosphate reductase 1 subunit alpha ,nrdA,DNA replication,P00452
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Maltodextrin phosphorylase ,malP,Carbohydrate metabolism,P00490
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Homoserine kinase ,thrB,Amino-acid biosynthesis,P00547
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Homoserine kinase ,thrB,Threonine biosynthesis,P00547
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,Phosphotransferase system,P00550
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,Sugar transport,P00550
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,PTS system mannitol-specific EIICBA component ,mtlA,Transport,P00550
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,Amino-acid biosynthesis,P00561
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,thrA,Threonine biosynthesis,P00561
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,Amino-acid biosynthesis,P00562
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,metL,Methionine biosynthesis,P00562
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoD ,rpoD,Transcription,P00579
Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoD ,rpoD,Transcription regulation,P00579
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA damage,P00582
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA repair,P00582
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase I ,polA,DNA replication,P00582
Cellular Processes and Signaling,Defense mechanisms,Defense mechanisms,Beta-lactamase ,ampC,Antibiotic resistance,P00811
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Diaminopimelate decarboxylase ,lysA,Amino-acid biosynthesis,P00861
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Diaminopimelate decarboxylase ,lysA,Lysine biosynthesis,P00861
