cog,complex,complex_annotation,func,protein,subunits
Carbohydrate transport and metabolism,CPLX0-3901,α-D-xyloside xylohydrolase,α-D-xyloside xylohydrolase,YicI,6.0
Carbohydrate transport and metabolism,CPLX0-7615,α-dehydro-β-deoxy-D-glucarate aldolase,α-dehydro-β-deoxy-D-glucarate aldolase,GarL,6.0
Carbohydrate transport and metabolism,ALPHAGALACTOSID-CPLX,α-galactosidase,α-galactosidase,MelA,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-227,α-ketoglutarate-dependent taurine dioxygenase,taurine dioxygenase,TauD,4.0
"Replication, recombination, and repair",CPLX0-3761,β sliding clamp,β sliding clamp,DnaN,2.0
Carbohydrate transport and metabolism,CPLX0-7662,β-D-glucuronidase,β-glucuronidase,UidA,4.0
Carbohydrate transport and metabolism,BETAGALACTOSID-CPLX,β-galactosidase,β-galactosidase,LacZ,4.0
Carbohydrate transport and metabolism,CPLX-153,β-glucoside specific PTS enzyme II,6-phospho-β-glucosidase AscB,AscB,2.0
Lipid transport and metabolism,FABA-CPLX,β-hydroxyacyl-acyl carrier protein dehydratase/isomerase,β-hydroxyacyl-acyl carrier protein dehydratase/isomerase,FabA,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",FABB-CPLX,β-ketoacyl-[acyl carrier protein] synthase I,β-ketoacyl-[acyl carrier protein] synthase I,FabB,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",3-OXOACYL-ACP-SYNTHII-CPLX,β-ketoacyl-[acyl carrier protein] synthase II,β-ketoacyl-[acyl carrier protein] synthase II,FabF,2.0
Lipid transport and metabolism,CPLX0-252,β-ketoacyl-[acyl carrier protein] synthase III,β-ketoacyl-[acyl carrier protein] synthase III,FabH,2.0
Energy production and conversion,CPLX0-3641,γ-aminobutyraldehyde dehydrogenase,γ-aminobutyraldehyde dehydrogenase,Prr,4.0
Lipid transport and metabolism,CARNDEHYDRA-CPLX,γ-butyrobetainyl-CoA:carnitine CoA transferase,γ-butyrobetainyl-CoA:carnitine CoA transferase,CaiB,2.0
Aminio acid transport and metabolism,CPLX0-3943,γ-glutamyl-γ-aminobutyrate hydrolase,γ-glutamyl-γ-aminobutyrate hydrolase,PuuD,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-8128,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase","1,4-dihydroxy-2-naphthoyl-CoA hydrolase",YdiI,4.0
Coenzyme transport and metabolism,CPLX0-7882,"1,4-dihydroxy-2-naphthoyl-CoA synthase","1,4-dihydroxy-2-naphthoyl-CoA synthase",MenB,6.0
Lipid transport and metabolism,DXPREDISOM-CPLX,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dxr,2.0
Coenzyme transport and metabolism,CPLX0-743,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Dxs,2.0
Lipid transport and metabolism,CPLX0-7564,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,IspH,2.0
Carbohydrate transport and metabolism,1-PFK,1-phosphofructokinase,1-phosphofructokinase,FruK,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8231,16S rRNA 2'-O-ribose C1402 methyltransferase,16S rRNA 2'-O-ribose C1402 methyltransferase,RsmI,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7727,16S rRNA m3U1498 methyltransferase,16S rRNA m3U1498 methyltransferase,RsmE,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7977,16S rRNA m4C1402 methyltransferase,16S rRNA m4C1402 methyltransferase,RsmH,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7758,"2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity","2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity",YmdB,2.0
Carbohydrate transport and metabolism,PHOSGLYCMUTASE,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",GpmA,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTA-CPLX,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",EntA,4.0
"Secondary metabolites, biosynthesis, transport, and catabolism",ENTE-CPLX,"2,3-dihydroxybenzoate-[aryl-carrier protein] ligase","2,3-dihydroxybenzoate-AMP ligase",EntE,2.0
Lipid transport and metabolism,CPLX0-721,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",IspF,3.0
Lipid transport and metabolism,CPLX0-234,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,IspD,2.0
Coenzyme transport and metabolism,AKBLIG-CPLX,2-amino-3-ketobutyrate CoA ligase,2-amino-3-ketobutyrate CoA ligase,Kbl,2.0
Function unknown,CPLX0-8259,2-amino-6-N-hydroxylaminopurine resistance protein,2-amino-6-N-hydroxylaminopurine resistance protein,YiiM,2.0
General function prediction only,CPLX0-7950,2-hydroxy-6-oxononatrienedioate hydrolase,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase",MhpC,2.0
General function prediction only,CPLX0-8127,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase","2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",PaaY,3.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-7951,2-hydroxypentadienoate hydratase,2-hydroxypentadienoate hydratase,MhpD,5.0
Carbohydrate transport and metabolism,CPLX0-7723,2-keto-3-deoxy-L-rhamnonate aldolase,2-keto-3-deoxy-L-rhamnonate aldolase,Yfau,6.0
Energy production and conversion,CPLX0-251,2-methylcitrate synthase,2-methylcitrate synthase,PrpC,2.0
Energy production and conversion,E1O,"2-oxoglutarate decarboxylase, thiamine-requiring",subunit of E1(0) component of 2-oxoglutarate dehydrogenase,SucA,12.0
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,2-oxoglutarate dehydrogenase complex,lipoamide dehydrogenase,LpdA,2.0
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,2-oxoglutarate dehydrogenase complex,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,SucA,12.0
Energy production and conversion,2OXOGLUTARATEDEH-CPLX,2-oxoglutarate dehydrogenase complex,"SucB-dihydrolipoate // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase""",SucB,24.0
Coenzyme transport and metabolism,CPLX0-7525,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,MenD,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-1121,23S rRNA 2'-O-ribose G2251 methyltransferase,23S rRNA 2'-O-ribose G2251 methyltransferase,RlmB,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7423,23S rRNA m3Ψ1915 methyltransferase,23S rRNA m3Ψ1915 methyltransferase,RlmH,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7726,23S rRNA m5C1962 methyltransferase,23S rRNA m5C1962 methyltransferase,RlmI,2.0
Coenzyme transport and metabolism,DIOHBUTANONEPSYN-CPLX,"3,4-dihydroxy-2-butanone-4-phosphate synthase","3,4-dihydroxy-2-butanone-4-phosphate synthase",RibB,2.0
Aminio acid transport and metabolism,AROD-CPLX,3-dehydroquinate dehydratase,3-dehydroquinate dehydratase,AroD,2.0
Aminio acid transport and metabolism,AROF-CPLX,3-deoxy-7-phosphoheptulonate synthase,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",AroF,2.0
Aminio acid transport and metabolism,AROG-CPLX,3-deoxy-7-phosphoheptulonate synthase,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",AroG,4.0
Aminio acid transport and metabolism,AROH-CPLX,3-deoxy-7-phosphoheptulonate synthase,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",AroF,2.0
General function prediction only,KDO-8PPHOSPHAT-CPLX,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,KdsC,4.0
Cell wall/membrane/envelope biogenesis,KDO-8PSYNTH-CPLX,3-deoxy-D-manno-octulosonate 8-phosphate synthase,3-deoxy-D-manno-octulosonate 8-phosphate synthase,KdsA,4.0
Energy production and conversion,CPLX0-1962,3-hydroxy acid dehydrogenase,3-hydroxy acid dehydrogenase,YdfG,4.0
Carbohydrate transport and metabolism,CPLX0-7820,"3-hydroxy-2,4-pentadione 5-phosphate thiolase","3-hydroxy-2,4-pentadione 5-phosphate thiolase",LsrF,10.0
Lipid transport and metabolism,FABZ-CPLX,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,FabZ,6.0
Aminio acid transport and metabolism,3-ISOPROPYLMALISOM-CPLX,3-isopropylmalate dehydratase,3-isopropylmalate dehydratase subunit LeuC,LeuC,1.0
Aminio acid transport and metabolism,3-ISOPROPYLMALISOM-CPLX,3-isopropylmalate dehydratase,3-isopropylmalate dehydratase subunit LeuD,LeuD,1.0
Energy production and conversion,3-ISOPROPYLMALDEHYDROG-CPLX,3-isopropylmalate dehydrogenase,3-isopropylmalate dehydrogenase,LeuB,2.0
Carbohydrate transport and metabolism,CPLX0-7744,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,UlaD,2.0
Coenzyme transport and metabolism,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,3-methyl-2-oxobutanoate hydroxymethyltransferase,3-methyl-2-oxobutanoate hydroxymethyltransferase,PanB,10.0
Coenzyme transport and metabolism,CPLX0-301,3-octaprenyl-4-hydroxybenzoate decarboxylase,3-octaprenyl-4-hydroxybenzoate decarboxylase,UbiD,6.0
Lipid transport and metabolism,CPLX0-8005,3-oxoacyl-[acyl-carrier-protein] reductase FabG,biotin carboxylase,AccC,4.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S1,RpsA,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S2,RpsB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S3,RpsC,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S4,RpsD,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S5,RpsE,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S6,RpsF,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S7,RpsG,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S8,RpsH,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S9,RpsI,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S10,RpsJ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S11,RpsK,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S12,RpsL,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S13,RpsM,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S14,RpsN,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S15,RpsO,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S16,RpsP,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S17,RpsQ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S18,RpsR,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S19,RpsS,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S20,RpsT,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S21,RpsU,1.0
Function unknown,CPLX0-3953,30S ribosomal subunit,30S ribosomal subunit protein S22,Sra,1.0
Lipid transport and metabolism,CPLX0-3841,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,IspE,2.0
Aminio acid transport and metabolism,PABASYN-CPLX,4-amino-4-deoxychorismate synthase,aminodeoxychorismate synthase subunit 2,PabA,1.0
Aminio acid transport and metabolism,PABASYN-CPLX,4-amino-4-deoxychorismate synthase,aminodeoxychorismate synthase subunit 1,PabB,1.0
Aminio acid transport and metabolism,GABATRANSAM-CPLX,4-aminobutyrate aminotransferase GabT,4-aminobutyrate aminotransferase GabT,GabT,2.0
Aminio acid transport and metabolism,DIHYDROPICRED-CPLX,4-hydroxy-tetrahydrodipicolinate reductase,4-hydroxy-tetrahydrodipicolinate reductase,DapB,4.0
Aminio acid transport and metabolism,DIHYDRODIPICSYN-CPLX,4-hydroxy-tetrahydrodipicolinate synthase,4-hydroxy-tetrahydrodipicolinate synthase,DapA,4.0
Coenzyme transport and metabolism,CPLX0-7847,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,PdxA,2.0
Nucleotide transport and metabolism,CPLX0-1541,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Mtn,2.0
Aminio acid transport and metabolism,METHYLENETHFREDUCT-CPLX,"5,10-methylenetetrahydrofolate reductase","5,10-methylenetetrahydrofolate reductase",MetF,4.0
Nucleotide transport and metabolism,PURK-CPLX,5-(carboxyamino)imidazole ribonucleotide synthase,5-(carboxyamino)imidazole ribonucleotide synthase,PurK,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7609,5-carboxymethylaminomethyluridine-tRNA synthase,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,MnmE,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7609,5-carboxymethylaminomethyluridine-tRNA synthase,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,MnmG,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7608,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,MnmE,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7597,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,MnmG,2.0
Carbohydrate transport and metabolism,CPLX-8401,5-dehydro-4-deoxy-D-glucuronate isomerase,5-dehydro-4-deoxy-D-glucuronate isomerase,KduI,6.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-8292,5-keto-D-gluconate 5-reductase,5-keto-D-gluconate 5-reductase,IdnO,2.0
Aminio acid transport and metabolism,CPLX0-8249,5-oxoprolinase,5-oxoprolinase component B,YbgJ,1.0
Aminio acid transport and metabolism,CPLX0-8249,5-oxoprolinase,5-oxoprolinase component C,YbgK,1.0
General function prediction only,CPLX0-8249,5-oxoprolinase,5-oxoprolinase component A,YbgL,1.0
Inorganic ion transport and metabolism,CPLX0-7936,"5-phospho-α-D-ribosyl 1,2-cyclic phosphate phosphodiesterase","5-phospho-α-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",PhnP,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3956,50S ribosomal protein complex L8,50S ribosomal subunit protein L10,RplJ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3956,50S ribosomal protein complex L8,"50S ribosomal subunit protein L7 // ""50S ribosomal subunit protein L12""",RplL,4.0
