"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"waaG"	"b3631"	3805943	3807067	"lipopolysaccharide glucosyltransferase I"	"Chromosome Region 78, 3802183->3851561" // "rfaQGPSBIJYZ-waaU" // "rirA-rfaQGPSBIJYZ-waaU"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	""	"transferase activity, transferring glycosyl groups" // "transferase activity" // "lipopolysaccharide glucosyltransferase I activity"
"ybiT"	"b0820"	855963	857555	"putative ATP-binding protein YbiT"	"Chromosome Region 18, 839443->888821" // "ybiT"	""	"plasma membrane"	"protein binding" // "ATPase activity" // "ATP binding" // "nucleotide binding"
"waaF"	"b3620"	3794929	3795975	"ADP-heptose&mdash;LPS heptosyltransferase 2"	"Chromosome Region 77, 3752804->3802182" // "rfaDFCL" // "rfaDFCL" // "rfaDFCL" // "rfaDFCL"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	"cytosol"	"ADP-heptose-lipopolysaccharide heptosyltransferase activity" // "transferase activity" // "transferase activity, transferring glycosyl groups"
"ybbO"	"b0493"	518340	519149	"NADP<sup>+</sup>-dependent aldehyde reductase"	"Chromosome Region 11, 493790->543168" // "ybbO" // "tesA" // "tesAp"	"oxidation-reduction process"	""	"alcohol dehydrogenase (NADP+) activity" // "oxidoreductase activity"
"wecB"	"b3786"	3970133	3971263	"UDP-<i>N</i>-acetylglucosamine 2-epimerase"	"Chromosome Region 81, 3950320->3999698" // "rfep" // "rffM" // "wzyE" // "wecF" // "wzxE" // "wecE" // "rffC" // "rffH" // "rffG" // "wecC" // "wecB" // "wzzE" // "rfe"	"metabolic process" // "enterobacterial common antigen biosynthetic process"	"cytosol" // "cytoplasm"	"catalytic activity" // "identical protein binding" // "protein homodimerization activity" // "isomerase activity" // "UDP-N-acetylglucosamine 2-epimerase activity"
"yaeQ"	"b0190"	214291	214836	"uncharacterized protein YaeQ"	"Chromosome Region 5, 197516->246894" // "yaeQp" // "nlpE" // "arfB" // "yaeQ"	""	""	""
"waaC"	"b3621"	3795979	3796938	"ADP-heptose:LPS heptosyltransferase 1"	"Chromosome Region 77, 3752804->3802182" // "rfaDFCL" // "rfaDFCL" // "rfaDFCL" // "rfaDFCL"	"lipopolysaccharide biosynthetic process" // "lipopolysaccharide core region biosynthetic process"	"cytosol" // "plasma membrane"	"ADP-heptose-lipopolysaccharide heptosyltransferase activity" // "protein binding" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "lipopolysaccharide heptosyltransferase activity"
"ymcF"	"b4723"	1051684	1051872	"protein YmcF"	"Chromosome Region 22, 1036959->1086337"	""	""	""
"rfbC"	"b2038"	2109581	2110138	DTDPDEHYDRHAMEPIM-MONOMER	"Chromosome Region 43, 2073918->2123296" // "rfbACX" // "rfbBDACX"	"carbohydrate metabolic process" // "response to UV" // "dTDP-rhamnose biosynthetic process" // "extracellular polysaccharide biosynthetic process" // "response to antibiotic" // "cellular response to DNA damage stimulus" // "lipopolysaccharide biosynthetic process" // "O antigen biosynthetic process"	"cytosol"	"isomerase activity" // "protein binding" // "dTDP-4-dehydrorhamnose 3,5-epimerase activity"
"arrS"	"b4704"	3657986	3658054	"small regulatory RNA ArrS"	"Chromosome Region 75, 3654046->3703424" // "arrS"	"cellular stress response to acid chemical"	""	""
"rcsA"	"b1951"	2023968	2024591	"DNA-binding transcriptional activator RcsA"	"Chromosome Region 42, 2024539->2073917" // "Chromosome Region 41, 1975160->2024538" // "rcsA"	"response to stimulus" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol"	"DNA binding"
"ymdF"	"b4518"	1068081	1068254	"stress-induced bacterial acidophilic repeat motifs-containing protein YmdF"	"Chromosome Region 22, 1036959->1086337" // "ymdF"	""	"cytosol"	""
"asmA"	"b2064"	2139759	2141612	"putative assembly protein AsmA"	"Chromosome Region 44, 2123297->2172675" // "asmA"	"regulation of protein targeting to membrane"	"integral component of plasma membrane" // "outer membrane-bounded periplasmic space" // "plasma membrane" // "periplasmic space"	""
