annotation,b_number,complex,gene_name,n_copies
5-keto-D-gluconate 5-reductase,b1461,CPLX0-902,ppta,2.0
5-keto-D-gluconate 5-reductase,b4471,CPLX0-7622,yhaq,2.0
5-keto-D-gluconate 5-reductase,b3191,ABC-45-CPLX,yrbb,2.0
5-keto-D-gluconate 5-reductase,b3193,ABC-45-CPLX,vpsc,6.0
5-keto-D-gluconate 5-reductase,b3194,ABC-45-CPLX,vpsb,2.0
5-keto-D-gluconate 5-reductase,b3195,ABC-45-CPLX,vpsa,2.0
"D-cysteine desulfhydrase, PLP-dependent",b1919,DCYSDESULF-CPLX,yedo,2.0
"D-cysteine desulfhydrase, PLP-dependent",b3749,CPLX0-7646,rbsp,10.0
"D-cysteine desulfhydrase, PLP-dependent",b1118,ABC-62-CPLX,lole,1.0
"D-cysteine desulfhydrase, PLP-dependent",b1117,ABC-62-CPLX,lold,2.0
"D-cysteine desulfhydrase, PLP-dependent",b1116,ABC-62-CPLX,lolc,1.0
"D-cysteine desulfhydrase, PLP-dependent",b2893,DSBC-CPLX,xpra,2.0
"D-cysteine desulfhydrase, PLP-dependent",b2916,CPLX0-7669,argp,2.0
<i>N</i>-acetyl-&beta;-neuraminate lyase,b3225,ACNEULY-CPLX,npl,4.0
D-erythrose-4-phosphate dehydrogenase,b2927,ERYTH4PDEHYDROG-CPLX,gapb,4.0
D-erythrose-4-phosphate dehydrogenase,b0485,CPLX0-7694,glsa,4.0
D-erythrose-4-phosphate dehydrogenase,b1415,ALD-CPLX,ald,4.0
formate dehydrogenase N,b1474,FORMATEDEHYDROGN-CPLX,fdng,3.0
formate dehydrogenase N,b1475,FORMATEDEHYDROGN-CPLX,fdnh,3.0
formate dehydrogenase N,b1476,FORMATEDEHYDROGN-CPLX,fdni,3.0
quinolinate synthase,b0750,CPLX0-7719,nica,2.0
"arginine decarboxylase, degradative",b4117,ARGDECARBOXDEG-CPLX,adia,10.0
glycine decarboxylase,b2903,GCVP-CPLX,gcvp,2.0
glycine decarboxylase,b4196,CPLX0-7744,yjfv,2.0
glycine decarboxylase,b3940,ASPKINIIHOMOSERDEHYDROGII-CPLX,metm,2.0
glycine decarboxylase,b0242,GLUTKIN-CPLX,prob,4.0
glycine decarboxylase,b1564,CPLX0-7791,relb,4.0
glycine decarboxylase,b1563,CPLX0-7791,rele,4.0
biotin carboxylase,b3256,BIOTIN-CARBOXYL-CPLX,accc,2.0
biotin carboxylase,b1635,GST-CPLX,gst,2.0
biotin carboxylase,b0628,CPLX0-782,lip,2.0
biotin carboxylase,b3722,CPLX-154,bgls,2.0
inosine 5'-monophosphate dehydrogenase,b2508,IMP-DEHYDROG-CPLX,guar,4.0
L-ascorbate-6-phosphate lactonase,b4192,CPLX0-7848,yjfr,6.0
curli secretion and assembly complex,b1039,CPLX-3945,csge,9.0
