gene_name	ecocyc_gene_id	b_number	gene_product	go_terms	synonyms	common_name	mw_kda
waaG	EG11339	b3631	lipopolysaccharide glucosyltransferase I	GO:0016757 // GO:0016740 // GO:0009103 // GO:0008919 // GO:0009244	"WaaG // ""RfaG"""	lipopolysaccharide glucosyltransferase I	42.284
ybiT	G6423	b0820	putative ATP-binding protein YbiT	GO:0005886 // GO:0005515 // GO:0016887 // GO:0005524 // GO:0000166	YbiT	putative ATP-binding protein YbiT	59.858
waaF	EG12210	b3620	ADP-heptose&mdash;LPS heptosyltransferase 2	GO:0005829 // GO:0008713 // GO:0016740 // GO:0009103 // GO:0016757 // GO:0009244	"WaaF // ""RfaF"" // ""ADP-heptose:LPS heptosyltransferase II"" // ""HepII"""	ADP-heptose&mdash;LPS heptosyltransferase 2	39.042
ybbO	G6269	b0493	NADP+-dependent aldehyde reductase	GO:0008106 // GO:0055114 // GO:0016491	YbbO	NADP+-dependent aldehyde reductase	29.41
wecB	EG11451	b3786	UDP-N-acetylglucosamine 2-epimerase	GO:0008152 // GO:0003824 // GO:0042802 // GO:0042803 // GO:0005829 // GO:0016853 // GO:0008761 // GO:0009246 // GO:0005737	"MnaA // ""YifF"" // ""RffE"" // ""NfrC"" // ""WecB"""	UDP-N-acetylglucosamine 2-epimerase	42.245
yaeQ	G6098	b0190	uncharacterized protein YaeQ		YaeQ	uncharacterized protein YaeQ	20.877
waaC	EG11189	b3621	ADP-heptose:LPS heptosyltransferase 1	GO:0008713 // GO:0005515 // GO:0005829 // GO:0016757 // GO:0016740 // GO:0009103 // GO:0005886 // GO:0008920 // GO:0009244	"YibC // ""WaaC"" // ""RfaC"" // ""ADP-heptose:LPS heptosyltransferase I"""	ADP-heptose:LPS heptosyltransferase 1	35.544
ymcF	G0-16688	b4723	protein YmcF		YmcF	protein YmcF	7.104
rfbC	EG11979	b2038	DTDPDEHYDRHAMEPIM-MONOMER	GO:0005975 // GO:0009411 // GO:0019305 // GO:0005829 // GO:0045226 // GO:0046677 // GO:0006974 // GO:0016853 // GO:0009103 // GO:0005515 // GO:0008830 // GO:0009243	"RfbD // ""RfbC"" // ""RmlC"""		21.27
arrS	G0-10694	b4704	small regulatory RNA ArrS	GO:0097533	"6H57 // ""ArrS"""	small regulatory RNA ArrS	
