SwissProt ID,SwissProt accession,Protein description,Observed parent ions,Protein score,Observable peptides,PAI lysate,emPAI,emPAI-derived copy no/cell (see Figure 2),Detection Frequency,Molecular mass (Da),Isoelectric point (pI),GRAVY (Kyte-Doolittle),number of alternating hydrophobic/hydrophilic stretches,CAI,Essentiality,hgt,Expr_value,FunCat (v.1.3) top level classification,FunCat (v.1.3) complete classification,FunCat class description,SCOP Fold,SCOP Family,SCOP Class,SCOP Fold Description,TMHMM 2.0 number of transmembrane segments,PSORT localisation,Experimentally derived localization,Group,Operon,Running Number,ribosomal protein,log copynumber
RPOB_ECOLI,P00575,DNA-directed RNA polymerase beta chain (EC 2.7.7.6) (RNAP beta subunit) (Transcriptase bet,133,6417,60,2.22,1.64E+02,5.59E+03,0.031226391,150634,5,-0.39,42,,,,2.65,"63,40,06,04",63.03.01;04.05.01.01;06.10;63;04;04.05;04.05.01;63.03;63.01;40.37;40;06;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); TRANSCRIPTION; ",e.29,e.29.1;e.29.1;,Multi-domain proteins (alpha and beta),beta and beta-prime subunits of DNA dependent RNA-polymerase,0,Cytoplasmic,C,high,rplJL-rpoBC,1,no,3.747411808
ODP1_ECOLI,P06958,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),123,6815,42,2.93,8.47E+02,1.45E+04,0.055237873,99539,5.5,-0.44,27,,,,2.43,"01,63,40,06,02",01;63.17;63;02.10;40.03;02;01.05;01.05.01;06;01.05.01.01;06.10;63.17.07;40;01.05.01.01.01;,"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ENERGY; ","c.48,c.36",c.48.1;c.36.1;,Alpha and beta proteins (a/b),"Thiamin diphosphate-binding fold (THDP-binding),Transketolase C-terminal domain-like",0,Unknown,IM,high,pdhR-aceEF-lpdA,2,no,4.161368002
RPOC_ECOLI,P00577,DNA-directed RNA polymerase beta' chain (EC 2.7.7.6) (RNAP beta' subunit) (Transcriptase b,122,5840,61,2,9.90E+01,4.18E+03,0.034473292,155162,7.05,-0.24,41,,,,2.49,"63,40,06,04",63.03.01;04.05.01.01;06.10;63;04;04.05;04.05.01;63.03;63.01;40.37;40;06;,"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); TRANSCRIPTION; ",e.29,e.29.1;e.29.1;,Multi-domain proteins (alpha and beta),beta and beta-prime subunits of DNA dependent RNA-polymerase,0,Cytoplasmic,,high,rplJL-rpoBC,3,no,3.621176282
EFG_ECOLI,P02996,Elongation factor G (EF-G),117,6402,30,3.9,7.94E+03,5.33E+04,0.064940907,77451,5.13,-0.29,20,,,,2.24,"40,05",05;05.04;40.03;40;05.04.02;,SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"c.37,d.14,b.43,d.58",c.37.1;d.58.11;b.43.3;d.14.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All beta proteins","Reductase/isomerase/elongation factor common domain,P-loop containing nucleotide triphosphate hydrolases,Ribosomal protein S5 domain 2-like,Ferredoxin-like",0,Cytoplasmic,C,high,rpsLG-fusA-tufA,4,no,4.726727209
DNAK_ECOLI,P04475,Chaperone protein dnaK (Heat shock protein 70) (Heat shock 70 kDa protein) (HSP70),105,6277,30,3.5,3.16E+03,3.12E+04,0.052358168,68985,4.67,-0.41,23,,,,2.58,"11,63,03,40,06",63.19;63;40.03;03.01.03;06;63.19.03;03.01;06.01;11.01;03;11;40;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); CELL CYCLE AND DNA PROCESSING; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ","e.20,c.55",c.55.1;e.20.1;,"Alpha and beta proteins (a/b),Multi-domain proteins (alpha and beta)","Ribonuclease H-like motif,Heat shock protein 70kD (HSP70), C-terminal substrate-binding fragment",0,Cytoplasmic,C,high,dnaKJ,5,no,4.494154594
RS1_ECOLI,P02349,30S ribosomal protein S1,107,5809,21,5.1,1.25E+05,2.64E+05,0.057103251,61159,4.71,-0.3,21,0.78,N*,,2.12,"63,05,40",05.01.01;63;05;40.03;63.03.03;63.03;63.01;05.01;40;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN SYNTHESIS; SUBCELLULAR LOCALISATION; ,b.40,b.40.4;,All beta proteins,OB-fold,0,Cytoplasmic,C,-,cmk-rpsA-himD,6,yes,5.421603927
CH60_ECOLI,P06139,60 kDa chaperonin (Protein Cpn60) (groEL protein),96,5282,24,4,1.00E+04,6.10E+04,0.064742823,57199,4.67,-0.01,12,,,,,"11,06",11.01;11;06;06.01;11.01.05;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN FATE (folding, modification, destination); ","a.129,c.8,d.56",d.56.1;a.129.1;c.8.5;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b),All alpha proteins","GroEL-like chaperone, intermediate domain,The ""swivelling"" beta/beta/alpha domain,GroEL-like chaperone, ATPase domain",0,Cytoplasmic,C,high,,7,no,4.785329835
PFLB_ECOLI,P09373,Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1),95,4961,34,2.79,6.21E+02,1.21E+04,0.035457064,85227,5.87,-0.38,28,0.77,N,,2.41,"01,40,13,02",01;01.01.10;40.03;02;13.11;01.01.10.03;02.16;02.16.11;13.11.03.01;01.01;13.11.03;13;40;02.13;01.01.10.03.03;,METABOLISM; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; ,c.7,c.7.1;,Alpha and beta proteins (a/b),PFL-like glycyl radical enzymes,0,Cytoplasmic,C,high,focA-pflB,8,no,4.08278537
EFTU_ECOLI,P02990,Elongation factor Tu (EF-Tu) (P-43),90,4843,21,4.29,1.93E+04,8.94E+04,0.10446571,43183,5.24,-0.2,13,,,,2.14,"63,40,05",63.19.05;63.19;63;05;05.04;40.03;40;40.30;05.04.02;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; ,"b.44,c.37,b.43",b.44.1;c.37.1;b.43.3;,"Alpha and beta proteins (a/b),All beta proteins","EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain,Reductase/isomerase/elongation factor common domain,P-loop containing nucleotide triphosphate hydrolases",0,Cytoplasmic,IM,high,rpsLG-fusA-tufA,9,no,4.951337519
ADHE_ECOLI,P17547,Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (EC 1.1.1.1) (ADH); Acetal,90,4856,41,2.2,1.56E+02,5.43E+03,0.040776183,95997,6.76,-0.07,23,0.65,N,,2.45,"01,63,02",01;63;63.17;63.21.07;02;63.17.09;01.05;02.16;01.05.01;63.21.99;02.16.01.01;63.21;02.16.01;,METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; ,"c.82,e.22",c.82.1;e.22.1;,"Alpha and beta proteins (a/b),Multi-domain proteins (alpha and beta)","Dehydroquinate synthase-like,ALDH-like",0,Cytoplasmic,C,high,adhE,10,no,3.73479983
TIG_ECOLI,P22257,Trigger factor (TF),84,4237,24,3.5,3.16E+03,3.12E+04,0.052403737,48194,4.64,-0.43,18,,,,2.05,"11,06,14",14.01;11.01;11.01.06;06.07;14.01.05;11;06.07.99;06;14;06.01;,"CELL RESCUE, DEFENSE AND VIRULENCE; PROTEIN FATE (folding, modification, destination); CELL FATE; ",d.26,d.26.1;,Alpha and beta proteins (a+b),FKBP-like,0,Cytoplasmic,C,high,,11,no,4.494154594
ODP2_ECOLI,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,82,4550,33,2.48,3.04E+02,8.02E+03,0.047321741,65966,4.92,0,27,0.61,E,,,"67,01,63,40,06,02",01;63;02.10;63.21.07;02;67.15;01.05.01;06;01.05.01.01;40.02;06.10;40;63.21;01.05.01.01.01;67;,"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; PROTEIN FATE (folding, modification, destination); ENERGY; ","c.43,b.84",c.43.1;b.84.1;,"Alpha and beta proteins (a/b),All beta proteins","Barrel-sandwich hybrid,CoA-dependent acyltransferases",0,CytoplasmicMembrane,IM,high,pdhR-aceEF-lpdA,12,no,3.904174368
G3P1_ECOLI,P06977,Glyceraldehyde-3-phosphate dehydrogenase A (EC 1.2.1.12) (GAPDH-A),81,4120,17,4.76,5.82E+04,1.70E+05,0.068462402,35402,7.11,-0.14,13,0.83,E,,2.07,"67,63,40,02",02.01;63;63.21.07;40.03;02;67.15;40;63.21;67;,TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; ,"d.81,c.2",c.2.1;d.81.1;,"Alpha and beta proteins (a/b),Alpha and beta proteins (a+b)","Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain,NAD(P)-binding Rossmann-fold domains",0,Cytoplasmic,C,high,,13,no,5.230448921
PGK_ECOLI,P11665,Phosphoglycerate kinase (EC 2.7.2.3),77,4377,17,4.53,3.38E+04,1.24E+05,0.060647486,40988,4.93,0.07,13,,,,,"63,01,40,02",01;63.19;63;01.04;40.03;02;01.05;01.05.01;63.19.03;01.05.01.01;02.01;40;01.05.01.01.01;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; ,c.86,c.86.1;,Alpha and beta proteins (a/b),Phosphoglycerate kinase,0,Cytoplasmic,?,high,epd-pgk,14,no,5.093421685
KPY1_ECOLI,P14178,Pyruvate kinase I (EC 2.7.1.40) (PK-1),68,3752,25,2.72,5.24E+02,1.10E+04,0.043554742,50731,5.98,-0.08,14,0.7,N,,2.58,"63,02",02.01;63.19;63;02;63.19.03;,PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; ,"c.1,c.49,b.58",c.49.1;c.1.12;b.58.1;,"Alpha and beta proteins (a/b),All beta proteins","TIM beta/alpha-barrel,PK beta-barrel domain-like,Pyruvate kinase C-terminal domain-like",0,Unknown,C,high,pykF,15,no,4.041392685
