Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P31119	reviewed	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	aas b2836 JW2804		AAS_ECOLI	GO:0005524; GO:0005886; GO:0006631; GO:0008654; GO:0008779; GO:0008922; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity [GO:0008779]; ATP binding [GO:0005524]; long-chain fatty acid [acyl-carrier-protein] ligase activity [GO:0008922]; fatty acid metabolic process [GO:0006631]; phospholipid biosynthetic process [GO:0008654]	fatty acid metabolic process [GO:0006631]; phospholipid biosynthetic process [GO:0008654]	80,700		KW-0012; KW-0067; KW-0436; KW-0472; KW-0511; KW-0547; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	5 out of 5	FUNCTION: Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1. {ECO:0000255|HAMAP-Rule:MF_01162, ECO:0000269|PubMed:1649829}.
P0A8P1	reviewed	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	aat ycaA b0885 JW0868		LFTR_ECOLI	GO:0005737; GO:0008914; GO:0016755; GO:0030163	cytoplasm [GO:0005737]; leucyltransferase activity [GO:0008914]; transferase activity, transferring amino-acyl groups [GO:0016755]; protein catabolic process [GO:0030163]	protein catabolic process [GO:0030163]	26,619		KW-0002; KW-0012; KW-0808; KW-0963; KW-1185	4 out of 5	FUNCTION: Functions in the N-end rule pathway of protein degradation where it conjugates Leu, Phe and, less efficiently, Met from aminoacyl-tRNAs to the N-termini of proteins containing an N-terminal arginine or lysine.
P77357	reviewed	p-aminobenzoyl-glutamate hydrolase subunit A (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	abgA ydaJ b1338 JW5205	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:20190044}; 	ABGA_ECOLI	GO:0005737; GO:0016805; GO:0046657; GO:0046982; GO:0071713	cytoplasm [GO:0005737]; dipeptidase activity [GO:0016805]; para-aminobenzoyl-glutamate hydrolase activity [GO:0071713]; protein heterodimerization activity [GO:0046982]; folic acid catabolic process [GO:0046657]	folic acid catabolic process [GO:0046657]	46,588		KW-0378; KW-0903; KW-1185	4 out of 5	FUNCTION: Component of the p-aminobenzoyl-glutamate hydrolase multicomponent enzyme system which catalyzes the cleavage of p-aminobenzoyl-glutamate (PABA-GLU) to form p-aminobenzoate (PABA) and glutamate. AbgAB does not degrade dipeptides and the physiological role of abgABT should be clarified. {ECO:0000269|PubMed:17307853, ECO:0000269|PubMed:20190044}.
P76052	reviewed	p-aminobenzoyl-glutamate hydrolase subunit B (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	abgB ydaI b1337 JW1331 ECK1333	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:20190044}; 	ABGB_ECOLI	GO:0005737; GO:0016805; GO:0046657; GO:0046982; GO:0071713	cytoplasm [GO:0005737]; dipeptidase activity [GO:0016805]; para-aminobenzoyl-glutamate hydrolase activity [GO:0071713]; protein heterodimerization activity [GO:0046982]; folic acid catabolic process [GO:0046657]	folic acid catabolic process [GO:0046657]	52,194		KW-0378; KW-0903; KW-1185	4 out of 5	FUNCTION: Component of the p-aminobenzoyl-glutamate hydrolase multicomponent enzyme system which catalyzes the cleavage of p-aminobenzoyl-glutamate (PABA-GLU) to form p-aminobenzoate (PABA) and glutamate. AbgAB does not degrade dipeptides and the physiological role of abgABT should be clarified. {ECO:0000269|PubMed:17307853, ECO:0000269|PubMed:20190044}.
P77744	reviewed	HTH-type transcriptional regulator AbgR	abgR b1339 JW1333		ABGR_ECOLI	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		34,058		KW-0238; KW-0804; KW-0805; KW-1185	3 out of 5	FUNCTION: Could be the regulator of the abg operon.
P46133	reviewed	p-aminobenzoyl-glutamate transport protein (PABA-GLU transport protein)	abgT ydaH b1336 JW5822 ECK1332		ABGT_ECOLI	GO:0005886; GO:0006865; GO:0015291; GO:0015558; GO:0015814; GO:0016021; GO:1902604	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; secondary active p-aminobenzoyl-glutamate transmembrane transporter activity [GO:0015558]; secondary active transmembrane transporter activity [GO:0015291]; amino acid transport [GO:0006865]; p-aminobenzoyl-glutamate transmembrane transport [GO:1902604]; p-aminobenzoyl-glutamate transport [GO:0015814]	amino acid transport [GO:0006865]; p-aminobenzoyl-glutamate transmembrane transport [GO:1902604]; p-aminobenzoyl-glutamate transport [GO:0015814]	54,886		KW-0029; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: Essential for aminobenzoyl-glutamate utilization. It catalyzes the concentration-dependent uptake of p-aminobenzoyl-glutamate (PABA-GLU) into the cell and allows accumulation of PABA-GLU to a concentration enabling AbgAB to catalyze cleavage into p-aminobenzoate and glutamate. It seems also to increase the sensitivity to low levels of aminobenzoyl-glutamate. May actually serve physiologically as a transporter for some other molecule, perhaps a dipeptide, and that it transports p-aminobenzoyl-glutamate as a secondary activity. The physiological role of abgABT should be clarified. {ECO:0000269|PubMed:17307853, ECO:0000269|PubMed:20190044}.
P75747	reviewed	Putative regulator AbrB (AidB regulator)	abrB ybgN b0715 JW5097 ECK0704		ABRB_ECOLI	GO:0005886; GO:0010468; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; regulation of gene expression [GO:0010468]	regulation of gene expression [GO:0010468]	36,884		KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	3 out of 5	FUNCTION: Seems to be involved in the regulation of AidB.
P0ABD5	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180		ACCA_ECOLI	GO:0003989; GO:0005524; GO:0005737; GO:0005829; GO:0006633; GO:0009329; GO:0016743; GO:0042759; GO:0042802; GO:2001295	acetate CoA-transferase complex [GO:0009329]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; identical protein binding [GO:0042802]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]	fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]	35,242		KW-0002; KW-0067; KW-0275; KW-0276; KW-0443; KW-0444; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA. {ECO:0000255|HAMAP-Rule:MF_00823, ECO:0000269|PubMed:15066985}.
P0ABD8	reviewed	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	accB fabE b3255 JW3223		BCCP_ECOLI	GO:0003989; GO:0005737; GO:0005829; GO:0006633; GO:0009305; GO:0009317	acetyl-CoA carboxylase complex [GO:0009317]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; acetyl-CoA carboxylase activity [GO:0003989]; fatty acid biosynthetic process [GO:0006633]; protein biotinylation [GO:0009305]	fatty acid biosynthetic process [GO:0006633]; protein biotinylation [GO:0009305]	16,687		KW-0002; KW-0092; KW-0275; KW-0276; KW-0443; KW-0444; KW-0903; KW-1185	4 out of 5	FUNCTION: This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. {ECO:0000269|PubMed:4934522}.
P24182	reviewed	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	accC fabG b3256 JW3224		ACCC_ECOLI	GO:0003989; GO:0004075; GO:0005524; GO:0005737; GO:0005829; GO:0006633; GO:0045717; GO:0046872; GO:2001295	cytoplasm [GO:0005737]; cytosol [GO:0005829]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of fatty acid biosynthetic process [GO:0045717]	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of fatty acid biosynthetic process [GO:0045717]	49,321		KW-0002; KW-0067; KW-0092; KW-0275; KW-0276; KW-0436; KW-0443; KW-0444; KW-0547; KW-0903; KW-1185	5 out of 5	FUNCTION: This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA.
